file	aws	azure	rev
AndrewsEx1	16.54	13.53	23.01
AntinEx1	20.78	25.43	27.17
Ashbery1Ex1	9.59	10.62	10.59
Ashbery2Ex1	8.15	11.36	12.47
Ashbery3Ex1	8.05	10.87	11.73
Ashbery4Ex1	21.98	31.79	24.62
Ashbery5Ex1	8.41	8.18	6.82
Ashbery6Ex1	9.08	11.47	9.37
Ashbery7Ex1	8.15	8.48	9.37
Ashbery8Ex1	8.97	11.27	12.54
AusterEx1	6.80	7.26	6.94
BeaulieuEx1	35.57	10.07	10.55
BellamyEx1	7.05	6.87	5.75
Benson1Ex1	14.32	14.65	14.06
Benson2Ex1	48.35	53.75	52.84
Berkson1Ex1	15.24	16.01	17.10
Berkson2Ex1	9.01	13.49	12.16
BerriganEx1	25.37	27.63	26.78
Berssenbrugge1Ex1	5.64	11.14	14.69
Berssenbrugge2Ex1	6.87	8.31	11.62
BervinEx1	17.03	23.08	19.44
BlochEx1	7.83	11.40	10.07
BonvicinoEx1	26.56	20.41	22.39
Bromige1Ex1	9.37	13.87	18.09
Bromige2Ex1	7.23	7.93	8.22
Bromige3Ex1	33.87	31.69	33.41
Bromige4Ex1	9.54	11.19	12.34
BrownEx1	8.46	9.68	7.95
BrowneEx1	12.62	14.63	15.24
ClayEx1	19.49	24.59	21.24
ConradEx1	9.13	10.91	9.54
CoolidgeEx1	6.30	8.42	9.76
CorriganEx1	12.27	12.34	12.29
DarraghEx1	12.41	14.28	12.93
DaviesEx1	9.40	10.76	10.60
DiPalmaEx1	8.32	6.68	6.43
DonovanEx1	9.18	11.65	11.14
DornEx1	7.76	8.86	13.02
Drucker1Ex1	6.62	6.89	8.01
Drucker2Ex1	5.22	10.82	8.57
DuPlessis1Ex1	8.30	13.66	11.40
DuPlessis2Ex1	7.24	9.39	10.66
DuPlessis3Ex1	7.88	12.52	12.01
Duncan1Ex1	10.66	14.81	14.36
Duncan2Ex1	9.19	16.39	16.63
Duncan3Ex1	18.97	23.86	21.37
DworkinEx1	4.28	5.83	9.88
FiedlerEx1	8.34	6.16	7.83
FosterEx1	7.21	9.65	10.59
FuchsEx1	6.33	9.35	12.11
GarrisonEx1	9.06	11.51	12.96
GinsbergEx1	34.73	37.16	41.62
GladmanEx1	6.06	7.05	7.98
GreenwaldEx1	5.69	6.76	8.24
HalpernEx1	5.05	7.59	9.59
HalseyEx1	41.78	12.31	13.90
HawkinsEx1	7.59	8.25	6.98
Howe1Ex1	4.29	6.13	7.31
Howe2Ex1	9.65	11.75	13.66
Howe3Ex1	26.15	31.20	32.60
JarnotEx1	6.71	10.40	9.47
JorisEx1	57.11	11.75	13.75
KimmelmanEx1	8.39	14.06	12.92
KinsellaEx1	45.95	42.17	10.29
KygerEx1	40.78	34.77	36.68
Lauterbach2Ex1	50.08	14.94	12.93
Lauterbach1Ex1	7.23	8.58	11.46
LevyEx1	8.11	10.27	12.29
MirakoveEx1	8.14	9.86	10.55
MooreEx1	5.88	5.50	9.67
MoxleyEx1	12.48	11.22	14.68
OppenEx1	14.32	15.94	21.99
PhillyTalks10Ex1	7.50	9.06	11.31
PhillyTalks1Ex1	23.31	32.00	27.05
PhillyTalks3Ex1	9.78	21.70	11.36
PhillyTalks5Ex1	14.57	20.83	15.75
PiombinoEx1	6.41	6.96	9.45
PoemTalkEx1	23.14	25.29	26.13
RaworthEx1	8.70	7.55	8.19
RetalackEx1	33.12	31.73	30.36
ReznikoffEx1	8.56	14.03	18.30
RichardsEx1	14.54	17.44	18.98
Robinson1Ex1	7.57	8.15	9.34
Robinson2Ex1	7.08	12.87	9.71
Robinson3Ex1	7.19	10.67	9.15
RothenbergEx1	13.40	17.07	20.52
Scalapino1Ex1	5.99	6.25	9.05
Scalapino2Ex1	33.48	39.25	39.69
SherlockEx1	7.21	7.19	5.34
Silliman1Ex1	9.15	11.62	9.28
Silliman2Ex1	6.42	10.98	11.09
Silliman3Ex1	7.42	10.23	12.04
SmithEx1	7.80	10.76	9.37
SpahrEx1	7.06	4.94	5.90
SzeEx1	6.05	6.64	6.21
TempletonEx1	25.77	22.29	21.24
TorresEx1	18.38	29.38	24.13
TowleEx1	12.15	10.44	13.17
WisherEx1	9.74	11.68	11.05
YauEx1	7.06	7.69	9.47
