file	beg	end	text	speaker
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	0.009	0.349	As	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	0.36	0.509	the	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	0.519	1.07	wallet	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	1.08	1.629	crumbled	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	1.639	1.75	and	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	1.759	2.23	bill	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	2.24	2.75	slid	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	2.759	2.849	in	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	2.859	2.96	and	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	2.97	3.289	out	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	3.299	3.39	of	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	3.4	3.71	it.	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	4.559	4.719	I	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	4.73	5.139	want	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	5.15	5.42	that	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	5.429	6.26	information	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	6.269	6.619	very	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	6.63	7.059	much	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	7.07	7.59	today.	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	8.319	8.8	Can't	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	8.81	9.22	have	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	9.229	9.449	it.	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	9.899	10.14	And	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	10.149	10.35	this	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	10.359	10.72	makes	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	10.729	11.1	me	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	11.109	11.699	angry.	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	12.609	12.75	I	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	12.76	13.159	shall	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	13.17	13.55	use	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	13.56	13.85	my	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	13.859	14.289	anger	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	14.3	14.43	to	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	14.439	14.819	build	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	14.829	14.84	a	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	14.85	15.55	bridge	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	15.67	16.01	like	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	16.02	16.319	that	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	16.329	16.719	of	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	16.729	17.549	avignon	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	17.78	18.03	on	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	18.04	18.27	which	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	18.28	18.719	people	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	18.729	18.94	may	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	18.95	19.44	dance	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	19.45	19.559	for	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	19.569	19.67	the	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	19.68	20.17	feeling	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	20.18	20.309	of	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	20.319	20.909	dancing	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	20.92	21.19	on	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	21.2	21.209	a	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	21.219	21.909	bridge.	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	22.659	22.68	I	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	22.69	23.159	shall	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	23.17	23.76	see,	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	23.77	23.799	I	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	23.809	24.1	shall	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	24.11	24.139	at	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	24.149	24.75	last	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	24.76	25.17	see	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	25.18	25.389	my	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	25.399	25.94	complete	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	25.95	26.69	face	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	27.159	28.0	reflected	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	28.01	28.469	not	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	28.479	28.6	in	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	28.61	28.76	the	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	28.77	29.479	water	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	29.94	30.209	but	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	30.219	30.299	in	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	30.309	30.51	the	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	30.52	30.93	war	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	30.94	31.0	and	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	31.01	31.579	stone	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	31.59	32.159	floor	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	32.169	32.25	of	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	32.259	32.5	my	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	32.509	33.229	bridge.	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	33.95	34.049	I	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	34.06	34.369	shall	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	34.38	34.709	keep	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	34.72	34.819	to	spk_0
Ashbery-John_Complete-Recording_Pioneer-Works_12-8-15	34.83	35.81	myself.	spk_0
