file	beg	end	text	speaker
Ashbery-John_Complete-Recording_St-Marks_NY	0.17	0.34	To	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	0.349	0.73	fall	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	0.74	0.8	at	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	0.81	0.949	our	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	0.959	1.409	feet	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	1.419	1.809	like	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	1.82	2.549	crocuses.	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	3.38	3.759	All	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	3.769	3.89	of	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	3.9	4.03	our	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	4.039	4.719	lives	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	4.73	5.01	is	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	5.019	5.03	a	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	5.039	5.84	rebus	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	5.989	6.25	of	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	6.26	6.579	little	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	6.59	7.039	wooden	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	7.05	7.84	animals	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	7.849	8.38	painted	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	8.39	8.96	shy	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	8.97	9.63	terrific	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	9.64	10.359	colors,	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	10.43	11.359	magnificent	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	11.369	11.52	and	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	11.529	12.319	horrible.	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	12.42	13.0	Close	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	13.01	13.68	together.	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	14.189	14.359	The	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	14.369	14.829	message	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	14.84	14.96	is	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	14.97	15.38	learned	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	15.39	15.479	the	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	15.489	15.729	way	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	15.739	16.2	light	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	16.379	16.59	at	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	16.6	16.68	the	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	16.69	16.92	edge	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	16.93	17.049	of	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	17.059	17.069	a	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	17.079	17.52	beach.	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	17.53	17.639	In	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	17.649	18.1	autumn	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	18.11	18.35	is	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	18.36	18.86	learned.	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	19.51	19.68	The	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	19.69	20.2	seasons	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	20.209	20.45	are	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	20.459	21.61	superimposed	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	22.229	22.26	in	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	22.27	22.489	New	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	22.5	22.809	York.	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	22.819	22.969	We	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	22.979	23.159	have	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	23.17	23.54	winter	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	23.549	23.649	in	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	23.659	24.299	August	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	24.51	24.809	as	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	24.819	24.889	they	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	24.899	25.09	do	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	25.1	25.219	in	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	25.229	26.0	Argentina	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	26.01	26.129	and	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	26.139	27.079	Australia	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	27.629	28.18	spring	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	28.19	28.35	is	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	28.36	28.829	leafy	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	28.84	28.969	and	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	28.979	29.67	cold.	spk_0
Ashbery-John_Complete-Recording_St-Marks_NY	29.68	30.209	Autumn,	spk_0
