file	beg	end	text	speaker
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	0.31	0.469	The	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	0.479	0.91	history	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	0.92	1.009	of	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	1.019	1.32	someone	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	1.33	1.44	who	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	1.45	1.75	came	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	1.759	1.919	too	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	1.929	2.47	late.	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	3.14	3.289	The	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	3.299	3.64	time	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	3.65	3.74	is	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	3.75	4.139	ripe	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	4.15	4.59	now	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	4.84	5.059	and	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	5.07	5.19	the	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	5.199	5.71	adage	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	5.719	5.869	is	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	5.88	6.55	hatching	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	6.78	7.07	as	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	7.079	7.099	the	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	7.11	7.73	seasons	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	7.739	8.159	change	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	8.17	8.26	and	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	8.27	8.909	tremble.	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	9.489	9.689	It	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	9.699	9.779	is	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	9.789	10.199	finally	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	10.21	10.31	as	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	10.319	10.43	though	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	10.439	10.64	that	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	10.649	10.85	thing	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	10.859	11.0	of	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	11.01	11.59	monstrous	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	11.6	12.489	interest	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	12.5	12.869	were	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	12.88	13.38	happening	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	13.39	13.43	in	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	13.439	13.55	the	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	13.56	14.14	sky,	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	14.46	14.67	but	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	14.68	14.789	the	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	14.8	15.05	sun	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	15.06	15.18	is	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	15.189	15.52	setting	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	15.529	15.63	and	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	15.64	16.03	prevents	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	16.04	16.149	you	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	16.159	16.37	from	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	16.379	16.78	seeing	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	16.79	16.95	it	spk_0
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	18.129	18.399	out	spk_0
