file	beg	end	text	speaker
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	0.009	0.829	Stinking	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	0.839	1.009	of	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	1.019	1.899	sewers	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	1.909	2.13	and	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	2.14	2.23	of	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	2.24	3.19	myself	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	3.2	3.819	stinking	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	3.829	3.839	a	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	3.849	4.4	bit	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.409	4.63	of	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.639	4.769	the	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.78	5.21	lighter's	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	5.219	5.9	flame,	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	5.909	6.53	stinking	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	6.539	6.75	like	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	6.76	6.989	that	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	7.0	7.53	rotten	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	7.539	8.189	apple	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	8.199	8.85	stinking	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	8.859	9.149	of	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	9.159	9.81	stupid	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	9.819	10.47	songs	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	10.479	11.069	sung	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	11.079	12.25	nowadays	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	12.26	12.55	and	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	12.56	12.71	of	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	12.72	13.67	myself	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	13.68	14.43	collected	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	14.439	15.149	garbage,	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	15.159	15.63	gives	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	15.64	16.29	off	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	16.299	16.309	a	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	16.319	16.93	distinct	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	16.94	17.44	smell	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	17.45	17.649	on	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	17.659	17.75	the	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	17.76	18.37	street	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	18.53	19.43	sinking,	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	19.44	20.389	stinking	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	20.399	20.659	of	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	20.67	21.29	shoes	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	21.299	21.479	and	spk_0
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	21.489	21.579	of	spk_0
