file	beg	end	text	speaker
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	2.21	2.24	At	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	2.339	2.66	other	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	2.67	3.119	times,	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	3.13	3.18	the	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	3.19	3.75	fans	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	3.759	3.839	in	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	3.849	3.95	the	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	3.96	4.429	stands	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	4.44	4.679	get	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	4.69	4.699	a	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	4.71	5.679	souvenir	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	5.69	6.409	arguing	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	6.42	6.659	as	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	6.67	6.829	they	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	6.84	7.139	were	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	7.15	7.159	a	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	7.17	7.48	minute	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	7.489	8.029	previous	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	8.039	8.35	among	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	8.359	9.17	themselves,	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	9.51	9.949	putting	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	9.96	10.289	money	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	10.3	10.43	on	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	10.439	10.51	the	spk_0
Bromige-David_Complete-Recording_With-Ron-Loewinsohn_SF_1-29-64	10.52	10.869	next	spk_0
