file	beg	end	text	speaker
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	0.469	1.039	Arrows	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	1.049	1.21	and	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	1.22	1.629	arrow.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	1.639	2.109	Same	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	2.119	2.48	damn	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	2.49	3.109	deal.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	3.92	4.51	Kissing,	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	4.519	5.09	eliminates	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	5.099	5.599	fusion	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	5.61	5.69	of	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	5.699	6.46	agitation	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	6.469	6.61	and	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	6.619	7.36	dreams	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	8.269	8.899	folded	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	8.909	8.979	in	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	8.989	9.079	the	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	9.088	10.038	days.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	10.168	10.449	The	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	10.458	11.128	surprising	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	11.138	11.628	moments	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	11.638	11.859	with	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	11.869	12.218	you	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	13.92	14.189	look	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.199	14.38	under	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.39	14.77	pain	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.779	14.92	and	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.93	15.31	find	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	15.319	15.539	me.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	15.55	15.63	Of	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	15.64	15.96	course,	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	15.97	15.979	I	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	15.989	16.399	still	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	16.409	16.6	love	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	16.61	16.94	you.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	16.95	17.129	I'm	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	17.139	17.45	glad	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	17.459	17.579	you	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	17.59	17.94	asked,	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	17.95	18.399	put	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	18.409	18.62	on	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	18.629	18.86	your	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	18.87	19.2	hunting	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	19.209	19.52	boots	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	19.53	19.62	and	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	19.629	19.85	look	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	19.86	19.95	at	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	19.959	20.319	my	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	20.329	21.26	antlers.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	21.329	21.639	I'm	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	21.649	21.659	a	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	21.67	22.1	deer.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	22.11	22.309	I'm	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	22.319	22.329	a	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	22.34	22.92	deer.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	25.26	25.479	All	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	25.489	25.75	right.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	26.959	27.649	Oh,	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	27.92	28.129	that	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	28.139	28.26	was	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	28.27	28.67	nice.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	29.54	29.829	What	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	29.84	29.989	is?	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	30.0	30.01	Oh,	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	30.02	30.52	that's	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	30.53	30.69	your	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	30.7	31.079	phone.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	31.09	31.659	Ok.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	33.169	33.18	Oh,	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	33.189	33.919	ok.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	37.919	37.95	I	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	37.959	38.419	sound	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	38.43	38.58	like	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	38.59	38.599	a	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	38.61	38.939	deer	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	38.95	39.419	dying.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	40.47	40.74	Say	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	40.75	40.79	it	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	40.799	40.979	with	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	40.99	41.279	green	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	41.29	41.65	paint	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	41.659	41.779	for	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	41.79	41.9	the	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	41.909	42.349	comfort	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	42.36	42.5	and	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	42.509	42.81	healing	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	42.819	42.909	of	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	42.919	43.119	their	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	43.13	43.979	wounds.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	44.45	44.79	Written	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	44.799	45.02	after	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	45.029	45.349	eating	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	45.36	45.54	only	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	45.549	45.919	green	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	45.93	46.319	foods	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	46.33	46.5	for	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	46.509	46.52	a	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	46.529	46.74	day	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	46.75	46.88	while	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	46.889	47.119	under	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	47.13	47.229	the	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	47.24	47.729	influence	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	47.74	47.84	of	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	47.849	48.08	green	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	48.09	48.33	nail	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	48.34	48.79	polish	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	48.799	48.88	on	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	48.889	49.009	my	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	49.02	49.33	middle	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	49.34	50.18	fingers.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	51.97	52.31	Not	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	52.319	52.61	until	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	52.619	52.81	we're	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	52.819	52.939	all	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	52.95	53.549	protected.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	53.56	53.72	He	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	53.729	54.189	said	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	55.33	55.619	not	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	55.63	55.95	until	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	55.959	56.069	we're	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	56.08	56.34	all	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	56.349	57.189	unprotected.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	57.2	57.229	I	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	57.24	57.86	said	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	58.669	59.209	descent	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	59.22	59.349	of	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	59.36	59.869	magnets.	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	59.88	60.02	We	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	60.029	60.229	come	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	60.24	60.349	to	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	60.36	60.689	bank	spk_0
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	60.7	61.2	ourselves	spk_0
