file	beg	end	text	speaker
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	0.509	0.709	The	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	0.72	0.939	beats	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	0.949	1.09	were	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	1.1	1.409	almost	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	1.419	1.669	always	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	1.679	2.15	serious	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	2.16	2.39	too.	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	2.4	2.41	I	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	2.42	3.089	remember	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.099	3.279	that	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.289	3.47	got	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.48	3.609	me	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.619	3.799	into	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.809	3.91	the	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	3.92	4.309	literary	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	4.32	4.829	quarterly	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	4.84	4.949	and	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	4.96	5.15	through	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.159	5.23	the	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.239	5.5	Iowa	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.51	5.849	Writers	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	5.86	6.4	Workshop	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.409	6.489	and	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.5	6.67	helped	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.679	6.769	me	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	6.78	7.28	understand	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	7.289	7.4	my	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	7.409	7.639	own	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	7.65	8.01	dark	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	8.02	8.38	corners	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	8.39	8.47	and	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	8.479	8.869	sharp	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	8.88	9.26	angles.	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.27	9.35	And	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.359	9.51	then	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.52	9.67	one	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.68	9.859	day	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.869	9.89	I	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	9.899	10.409	realized	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	10.42	10.529	how	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	10.539	10.84	much	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	10.85	10.93	of	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	10.939	11.159	what	spk_0
DiPalma-Lally-Andrews_Complete-Recording_11-10-77	11.17	11.18	I	spk_0
