file	beg	end	text	speaker
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	0.75	0.98	There	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	0.99	1.169	is	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	1.179	1.389	no	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	1.399	2.21	arguing	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	2.22	2.599	with	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	2.609	3.13	vain	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	3.14	3.93	terror	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	3.94	4.25	and	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	4.26	5.48	negligence.	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	6.289	6.48	I	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	6.489	6.789	am	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	6.8	7.469	very	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	7.48	8.409	unwilling	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	8.42	8.59	and	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	8.6	8.88	not	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	8.89	9.67	obliged	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	9.68	9.949	to	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	9.96	10.25	write	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	10.26	10.47	my	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	10.479	10.989	history	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	11.0	11.13	of	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	11.14	12.22	melancholy.	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.229	12.43	But	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.439	12.6	to	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	12.609	13.029	let	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	13.039	13.64	madam	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	13.649	14.05	do	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	14.06	14.47	what?	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	14.479	15.229	Unhappy	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	15.239	15.96	fancy	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	15.97	16.19	that	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	16.2	17.27	confinement	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	17.28	17.43	and	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	17.44	18.389	fetters	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	18.729	19.149	too	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	19.159	19.6	ugly	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	19.61	19.75	to	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	19.76	20.43	kiss.	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	20.44	21.09	Doctor	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	21.19	21.709	Johnson	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	23.03	23.319	would	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	23.329	23.719	not	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	23.729	24.17	trouble	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	24.18	24.319	too	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	24.329	24.78	much	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	24.79	24.979	with	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	24.989	25.02	the	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	25.03	25.409	lives	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	25.42	25.53	of	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	25.54	25.61	the	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	25.62	26.36	poets	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	27.03	27.239	in	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	27.25	28.059	Unmerciful	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	28.069	28.54	nights	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	28.549	28.84	and	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	28.85	29.459	great	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	29.469	29.79	want	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	29.799	29.92	of	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	29.93	30.61	company,	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	31.559	32.299	sadly	spk_0
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	32.31	33.06	broken.	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	33.459	33.7	But	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	33.709	33.889	one	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	33.9	34.02	of	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	34.029	34.139	the	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	34.15	34.619	most	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	34.63	35.659	fervent	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	35.759	36.09	and	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	36.099	36.939	eloquent	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	36.95	38.09	prayers,	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	42.75	42.81	I	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	42.819	43.09	think	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	43.099	43.729	Johnson's	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	43.74	43.779	um	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	43.79	44.459	History	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	44.47	44.56	of	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	44.569	45.52	Melancholy	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	45.529	45.799	has	spk_1
Halsey-Alan_Complete-Reading_BUS-MFA_Boise_10-15-10	45.81	46.119	got	spk_1
