file	beg	end	text	speaker
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	0.009	0.31	This	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	0.319	0.509	is	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	0.519	0.529	a	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	0.54	1.179	species	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	1.19	1.379	near	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	1.389	2.17	extinction.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	2.2	2.42	An	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	2.43	2.809	island	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	2.819	3.269	floated	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	3.279	3.609	off	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	3.619	4.039	drift	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	4.05	4.17	and	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	4.179	4.55	shift	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	4.559	5.389	consonantal	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	5.4	5.88	dream	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	5.889	6.03	of	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	6.039	6.51	matter	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	6.519	6.82	how	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	6.829	6.949	we	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	6.96	7.11	are	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	7.119	7.869	alienated	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	7.88	8.1	out	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	8.109	8.27	of	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	8.279	8.5	it	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	8.52	8.869	into	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	8.88	9.449	vertical.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	9.46	10.069	Worry	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	10.079	10.439	more	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	10.449	10.649	than	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	10.659	10.92	hair	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	10.93	11.489	stands	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	11.5	11.72	on	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	11.729	12.1	end,	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	12.109	12.569	soft	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	12.579	12.97	furry	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	12.979	13.42	rabbit	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	13.43	13.71	brood	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	13.72	13.899	what	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	13.909	14.039	we	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	14.05	14.34	call	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	14.35	15.02	play	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	15.039	15.21	in	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	15.22	15.31	the	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	15.319	15.739	grass.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	15.75	15.949	This	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	15.96	16.53	desire	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	16.54	16.739	for	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	16.75	17.03	house	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	17.04	17.489	against	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	17.5	17.579	the	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	17.59	18.049	nomad	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	18.059	18.569	grained	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	18.579	18.59	a	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	18.6	19.309	strain.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	19.84	20.129	Wes	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	20.659	20.77	Wes	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	20.909	21.0	Eins	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	21.209	21.53	Swi	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	21.559	21.739	Bino	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	22.19	22.26	Deutsche	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	22.479	22.659	Stur.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	23.01	23.02	A	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	23.079	23.62	mirror	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	23.629	23.989	killed	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	24.0	24.17	him	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	24.18	24.27	of	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	24.28	24.389	the	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	24.399	24.889	lottery.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	24.899	25.219	Stur	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	26.43	26.53	in	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	26.54	27.12	Cambridge	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	27.129	27.79	basement.	spk_1
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	30.579	31.04	Seven	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	31.09	31.12	in	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	31.18	31.2	the	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	31.299	31.479	morning.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	33.0	33.31	Do	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	34.259	34.549	the	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	34.56	35.029	omnium	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	35.04	35.389	divide	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	35.4	35.779	into	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	35.79	36.419	threes.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	36.43	36.59	The	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	36.599	36.799	syn	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	36.81	37.13	tags	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	37.139	37.279	of	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	37.29	37.7	all	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	37.709	38.06	single	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	38.11	38.509	minded	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	38.52	39.069	political	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	39.08	40.25	arrogance,	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	40.31	40.419	Cesare	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	40.689	41.229	cut	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	41.24	41.43	or	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	41.439	41.97	Christic	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	41.979	42.59	Cup.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	42.61	42.889	I	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	42.9	43.54	stray	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	43.549	43.959	try	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	43.97	44.549	escape	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	44.56	45.31	resistance	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	45.319	45.549	to	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	45.56	46.11	stabilized	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	46.119	46.869	structure,	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	46.88	47.27	stray	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	47.279	47.79	bullets	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	47.799	48.139	scape	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	48.15	48.529	soft	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	48.54	48.849	ferry	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	48.86	49.47	matter.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	49.479	49.75	All	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	49.759	49.939	our	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	49.95	50.439	ghosts	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	50.45	51.049	voicing	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	51.06	51.59	anguish	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	51.599	51.95	Trump	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	51.959	52.159	by	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	52.169	53.349	Trigonometry.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	53.36	53.909	Idaho	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	53.919	54.52	release	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	54.529	54.869	along	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	54.88	55.47	prevailing	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	55.479	56.049	outward	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	56.06	56.669	winds.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	56.68	57.439	Iodine	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	57.45	58.75	131	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	58.759	59.09	6	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	59.099	59.459	million	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	59.47	60.06	curies,	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	60.069	60.779	dispose	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	60.79	61.02	and	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	61.029	61.439	dilute	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	61.45	61.86	idiot.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	62.4	62.639	Savant	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	63.11	63.209	in	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	63.22	63.229	a	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	63.24	63.669	law.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	63.689	63.95	No	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	63.959	64.279	toe	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	64.29	64.739	hold	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	64.75	64.76	a	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	64.769	65.269	giant	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	65.279	65.739	sloth	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	65.75	66.139	around	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	66.15	66.36	our	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	66.37	66.79	throats.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	66.8	67.069	Get	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	67.08	67.33	rid	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	67.339	67.569	of	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	67.58	68.089	image	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	68.26	68.9	defence,	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	68.91	69.139	defi	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	69.55	69.61	the	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	69.62	70.19	pleasure	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	70.199	70.309	of	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	70.319	70.769	writing	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	70.779	71.309	physical	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	71.319	72.15	typography	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	72.26	72.33	at	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	72.449	72.669	the	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	72.68	72.97	edge	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	72.98	73.169	of	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	73.18	73.239	our	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	73.25	73.889	bodies	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	73.9	74.559	incise	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	74.569	74.839	on	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	74.849	75.44	bone.	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	75.51	75.699	The	spk_0
Joris-Pierre_Complete-reading_Weds-at-four-plus_Buffalo_9-25-96	75.709	76.05	death	spk_0
