file	beg	end	text	speaker
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	0.25	0.829	Um,	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	1.6	1.649	uh	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	1.669	2.42	it'll	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.43	2.579	tell	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.589	2.64	you	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.65	2.66	a	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.67	2.9	little	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	2.91	3.049	bit	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	3.059	3.38	about,	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	4.44	5.019	um,	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	5.71	6.48	when	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.489	6.5	I	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.51	6.789	come	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.8	6.969	up	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	6.98	7.469	against	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	7.48	8.229	impediments	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	8.239	8.729	and,	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	8.739	9.38	and,	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	9.39	9.689	um,	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	9.699	10.069	which	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.079	10.14	is	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.149	10.569	often	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.579	10.729	and	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.739	10.89	then	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	10.899	11.1	what	spk_0
Lauterbach-Ann_Complete-Reading_SUNY-Buffalo_10-17-01	11.109	11.13	I	spk_0
