file	beg	end	text	speaker
PhillyTalks5_Complete-Recording_03-03-98_UPenn	0.019	0.46	All	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	0.469	0.569	the	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	0.579	1.1	texts	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	1.11	1.19	in	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	1.2	1.289	the	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	1.299	1.75	book	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	1.759	2.509	somehow	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	2.72	3.15	took	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	3.16	4.269	place	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	4.28	4.889	in	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	4.9	4.909	a	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	4.92	5.579	space	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	5.59	5.71	that	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	5.719	5.909	he	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	5.92	6.4	defined	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	6.409	6.53	as	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	6.539	6.61	the	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	6.619	6.889	Middle	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	6.9	7.389	East.	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	7.75	8.279	And	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	8.289	8.38	in	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	8.39	8.989	fact,	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	9.0	9.319	many	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	9.329	9.39	of	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	9.399	9.619	them	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	9.63	10.109	really	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	10.119	10.75	didn't	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	10.76	10.949	or	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	10.96	11.55	don't	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	12.029	12.27	in	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	12.279	12.289	a,	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	12.3	12.699	in	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	12.71	12.72	a	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	12.729	13.51	mental	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	13.52	14.039	space	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	14.05	14.149	or	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	14.159	14.399	even	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	14.409	14.5	in	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	14.51	14.52	a	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	14.529	15.039	physical	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	15.05	15.699	space.	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	16.1	16.569	And	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	16.579	17.0	part	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	17.01	17.399	of	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	17.409	17.95	what	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	17.959	18.079	I	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	18.09	18.35	was	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	18.36	18.629	up	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	18.639	18.829	to	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	18.84	19.27	there	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	19.28	19.86	was	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	19.87	20.54	to	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	24.569	25.79	include	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	25.959	26.18	the	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	26.19	26.629	sense	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	26.639	26.75	of	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	26.76	27.03	those	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	27.04	28.129	spaces	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	28.139	28.399	in	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	28.409	28.989	wherever	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	29.0	29.049	I	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	29.059	29.649	was.	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	29.86	30.34	Um	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	30.35	30.549	And	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	30.559	30.719	this	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	30.729	30.86	is	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	30.87	31.239	something	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	31.25	31.469	that	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	31.479	31.709	I've	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	31.719	32.139	found	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	32.15	32.29	to	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	32.299	32.669	be	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	33.5	34.56	extremely	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	34.919	35.599	difficult	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	35.61	35.819	to	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	35.83	36.36	do	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	36.659	37.52	under	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	37.529	37.959	again,	spk_0
PhillyTalks5_Complete-Recording_03-03-98_UPenn	37.97	38.58	American	spk_0
