file	beg	end	text	speaker
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	0.009	0.629	Wouldn't	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	0.639	1.129	that	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	1.139	1.25	not	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	1.61	1.62	a	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	1.75	1.95	cool	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	1.96	2.329	also	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	2.339	2.5	be	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	2.509	3.019	melting	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	3.029	3.119	at	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	3.13	3.2	the	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	3.21	3.509	same	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	3.519	4.09	time,	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	4.099	4.75	Humpback	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	4.76	5.48	Whale.	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	5.55	5.78	And	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	5.789	6.03	then,	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.039	6.17	and	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.179	6.349	then	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.36	6.619	the	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	6.69	7.219	Alps	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.23	7.349	and	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.36	7.429	the	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.44	7.96	tropical	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	7.969	8.22	ice	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.229	8.71	caps	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.72	8.84	and	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.85	8.93	the	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	8.939	9.52	poles,	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	9.529	10.109	Indiana	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	10.119	10.77	bat.	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.09	11.289	And	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.3	11.439	then	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.449	11.59	they	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.6	11.96	read	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	11.97	12.069	that	spk_0
Spahr-Juliana_Complete-Reading_Line-Reading_05-14-02	12.079	12.3	while	spk_0
