file	beg	end	text	speaker
Sze-Arthur_Complete-Recording_UPenn_12-5-06	0.2	0.6	White	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	0.61	1.159	caps,	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.179	1.36	un	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.389	1.769	heal	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.779	2.549	water.	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.559	2.569	A	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.579	2.96	few	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.97	3.42	freighters	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	3.43	4.15	zigzag	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.159	4.63	down	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.639	4.849	from	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.86	4.949	the	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.96	5.46	black	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	5.469	6.09	sea	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	6.519	7.269	sunlight	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	7.28	8.02	flares	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.029	8.119	at	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.13	8.26	the	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.27	8.779	edges	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.789	8.96	of	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.97	9.939	leaves.	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	9.949	10.31	Heat	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.319	10.92	ripples	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.93	11.109	up	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.119	11.42	from	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.43	11.56	the	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.569	12.0	noon	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	12.01	12.319	string	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	12.359	13.069	street	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.079	13.26	and	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.27	13.449	from	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.46	13.949	rusted	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.96	14.34	car	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	14.35	15.01	tops	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.449	15.75	the	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.76	16.149	salt	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.159	16.229	in	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.239	16.35	the	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.36	16.819	air	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.829	17.51	stings	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	17.52	17.989	my	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.0	18.59	eyes.	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.6	18.7	I	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.709	19.2	lift	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	19.209	19.219	a	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	19.229	19.909	latch	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	19.92	20.75	step	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	20.76	21.069	into	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	21.079	21.09	a	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	21.1	22.03	patio	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.079	22.719	bird	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.729	22.889	of	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.899	23.729	paradise	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	23.739	23.92	in	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	23.93	24.59	bloom.	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	25.42	25.76	But	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	25.77	26.469	approaching	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	26.479	26.61	the	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	26.62	27.239	window,	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	27.25	27.309	I	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	27.319	27.799	find	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	27.809	28.34	peeled	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	28.35	29.059	paint	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	29.299	30.459	cobwebs.	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	30.639	31.049	It's	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	31.059	31.51	dingy	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	31.52	32.319	inside.	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	32.389	32.59	I	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	32.599	33.409	turn	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	33.83	34.639	wade	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	34.65	35.0	into	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	35.009	35.639	sleep.	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	38.229	38.569	Do,	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	38.58	38.689	as	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	38.7	38.889	you're	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	38.9	39.33	told,	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	39.34	39.65	scum	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	39.669	40.049	sucker.	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	40.06	40.369	You're	spk_0
Sze-Arthur_Complete-Recording_UPenn_12-5-06	40.38	40.5	the	spk_0
