file	beg	end	text	speaker
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	0.55	0.59	a	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	0.59	1.11	youthful	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	1.11	1.75	beauty	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	1.79	2.03	in	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	2.03	2.07	a	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	2.07	2.63	ruffled	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	2.63	3.27	blouse	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	3.27	3.67	writes	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	3.67	4.03	sarah	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	4.03	4.79	mcphee	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	5.23	5.87	costanza	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	5.87	6.07	was	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	6.07	6.35	about	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	6.35	6.71	twenty	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	6.71	7.19	four	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	7.19	7.43	in	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	7.43	7.95	rome	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	8.23	8.43	with	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	8.43	8.55	her	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	8.55	9.11	talented	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	9.11	9.63	husband	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	9.63	10.23	mateo	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	10.23	10.51	from	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	10.51	10.99	lucca	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.39	11.67	so	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.67	11.83	he	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	11.83	12.03	could	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.03	12.39	work	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.39	12.59	with	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.59	12.83	jean	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	12.83	13.55	lorenzo	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	13.79	13.99	in	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	13.99	14.27	saint	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.27	14.79	peter	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.79	14.87	's	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.87	14.99	on	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	14.99	15.55	matilda	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	15.55	15.59	's	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	15.59	16.15	tomb	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	17.54	17.58	a	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	17.58	18.18	fierce	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	18.18	18.42	and	1
Berkson-Bill_Complete-Reading_UPenn_4-3-2013	18.42	19.02	sensual	1
