file	beg	end	text	speaker
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	1.55	2.15	kay	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	2.15	2.39	came	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	2.39	2.51	to	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	2.51	2.67	my	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	2.67	3.11	door	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	3.11	3.23	in	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	3.23	3.27	a	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	3.27	3.63	pink	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	3.63	4.15	skirt	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	4.19	4.35	and	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	4.35	4.39	a	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	4.39	4.63	pink	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	4.63	5.31	jacket	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	5.51	5.87	both	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	5.87	6.07	the	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	6.07	6.47	color	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	6.47	6.63	of	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	6.63	7.27	dust	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	7.91	8.15	she	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	8.15	8.43	opened	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	8.43	8.55	her	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	8.55	8.87	mouth	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	8.87	9.03	and	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	9.03	9.31	some	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	9.31	9.75	dust	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	9.75	10.11	came	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	10.11	10.55	out	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	10.55	10.59	i	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	11.03	11.27	am	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	11.27	11.47	not	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	11.47	11.91	totally	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	11.91	12.19	sure	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	12.19	12.35	what	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	12.35	12.95	happened	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	12.95	13.27	between	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	13.27	13.39	the	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	13.39	13.87	foyer	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	13.87	13.99	and	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	13.99	14.11	the	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	14.11	14.55	apartment	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	14.55	15.03	door	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	15.03	15.07	i	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	15.23	15.51	am	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	15.51	16.31	stammering	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	16.39	16.43	i	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	16.43	16.67	did	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	16.67	16.79	the	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	16.79	17.27	treadmill	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	17.27	17.43	for	1
Bloch-Julia_03_Complete-Reading_Emergency-Series_KWH-UPenn_3-27-12	17.43	17.75	thirty	1
