file	beg	end	text	speaker
Clay-Steve_Close-Listening_5-17-21	0.87	0.91	a	1
Clay-Steve_Close-Listening_5-17-21	0.91	1.59	fascinating	1
Clay-Steve_Close-Listening_5-17-21	1.59	1.91	thing	1
Clay-Steve_Close-Listening_5-17-21	1.91	2.03	and	1
Clay-Steve_Close-Listening_5-17-21	2.03	2.47	now	1
Clay-Steve_Close-Listening_5-17-21	2.47	2.79	we	1
Clay-Steve_Close-Listening_5-17-21	2.79	3.07	both	1
Clay-Steve_Close-Listening_5-17-21	3.07	3.23	had	1
Clay-Steve_Close-Listening_5-17-21	3.23	3.27	a	1
Clay-Steve_Close-Listening_5-17-21	3.27	3.59	chance	1
Clay-Steve_Close-Listening_5-17-21	3.59	3.75	to	1
Clay-Steve_Close-Listening_5-17-21	3.75	4.07	read	1
Clay-Steve_Close-Listening_5-17-21	4.07	4.55	more	1
Clay-Steve_Close-Listening_5-17-21	4.63	5.07	literary	1
Clay-Steve_Close-Listening_5-17-21	5.07	5.75	history	1
Clay-Steve_Close-Listening_5-17-21	5.87	6.19	so	1
Clay-Steve_Close-Listening_5-17-21	6.19	6.39	so	1
Clay-Steve_Close-Listening_5-17-21	6.39	6.47	we	1
Clay-Steve_Close-Listening_5-17-21	6.47	6.63	know	1
Clay-Steve_Close-Listening_5-17-21	6.63	6.87	going	1
Clay-Steve_Close-Listening_5-17-21	6.87	7.03	back	1
Clay-Steve_Close-Listening_5-17-21	7.03	7.15	to	1
Clay-Steve_Close-Listening_5-17-21	7.15	7.55	blake	1
Clay-Steve_Close-Listening_5-17-21	7.55	7.67	of	1
Clay-Steve_Close-Listening_5-17-21	7.67	8.03	course	1
Clay-Steve_Close-Listening_5-17-21	8.03	8.19	who	1
Clay-Steve_Close-Listening_5-17-21	8.19	8.27	is	1
Clay-Steve_Close-Listening_5-17-21	8.27	8.47	such	1
Clay-Steve_Close-Listening_5-17-21	8.47	8.59	an	1
Clay-Steve_Close-Listening_5-17-21	8.59	9.19	outsider	1
Clay-Steve_Close-Listening_5-17-21	9.19	9.31	and	1
Clay-Steve_Close-Listening_5-17-21	9.31	9.99	printed	1
Clay-Steve_Close-Listening_5-17-21	10.27	10.59	and	1
Clay-Steve_Close-Listening_5-17-21	10.59	11.19	engraved	1
Clay-Steve_Close-Listening_5-17-21	11.19	11.51	create	1
Clay-Steve_Close-Listening_5-17-21	11.51	11.63	his	1
Clay-Steve_Close-Listening_5-17-21	11.63	11.75	own	1
Clay-Steve_Close-Listening_5-17-21	11.75	12.19	engraving	1
Clay-Steve_Close-Listening_5-17-21	12.19	12.71	techniques	1
Clay-Steve_Close-Listening_5-17-21	12.71	12.83	his	1
Clay-Steve_Close-Listening_5-17-21	12.83	12.95	own	1
Clay-Steve_Close-Listening_5-17-21	12.95	13.59	books	1
Clay-Steve_Close-Listening_5-17-21	13.83	14.19	but	1
Clay-Steve_Close-Listening_5-17-21	14.83	15.51	most	1
Clay-Steve_Close-Listening_5-17-21	15.79	16.79	literary	1
Clay-Steve_Close-Listening_5-17-21	16.79	17.07	most	1
Clay-Steve_Close-Listening_5-17-21	17.07	17.51	poets	1
Clay-Steve_Close-Listening_5-17-21	17.51	17.95	exist	1
Clay-Steve_Close-Listening_5-17-21	17.95	18.51	within	1
Clay-Steve_Close-Listening_5-17-21	19.63	19.75	you	1
Clay-Steve_Close-Listening_5-17-21	19.75	19.91	know	1
Clay-Steve_Close-Listening_5-17-21	19.91	20.39	micro	1
Clay-Steve_Close-Listening_5-17-21	20.39	21.19	networks	1
Clay-Steve_Close-Listening_5-17-21	21.35	21.75	of	1
Clay-Steve_Close-Listening_5-17-21	22.51	23.35	publishers	1
Clay-Steve_Close-Listening_5-17-21	23.35	23.63	or	1
Clay-Steve_Close-Listening_5-17-21	23.91	24.67	bookstores	1
Clay-Steve_Close-Listening_5-17-21	24.67	24.87	that	1
Clay-Steve_Close-Listening_5-17-21	24.87	25.27	publish	1
Clay-Steve_Close-Listening_5-17-21	25.27	25.51	their	1
Clay-Steve_Close-Listening_5-17-21	25.51	25.99	work	1
Clay-Steve_Close-Listening_5-17-21	26.19	26.35	and	1
Clay-Steve_Close-Listening_5-17-21	26.35	26.55	that	1
Clay-Steve_Close-Listening_5-17-21	26.55	27.11	circulate	1
