file	beg	end	text	speaker
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	0.91	1.23	come	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	1.23	1.43	from	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	1.43	1.59	the	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	1.59	1.95	middle	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	1.95	2.07	and	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	2.07	2.27	go	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	2.27	2.95	home	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	3.15	3.95	performing	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	3.95	4.31	woman	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	4.31	4.43	in	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	4.43	4.47	a	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	4.47	5.19	calabash	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	5.19	5.63	haste	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	5.63	5.87	to	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	5.87	6.39	display	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	6.39	6.55	an	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	6.55	6.87	all	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	6.87	7.55	plum	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	8.11	8.59	passing	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	8.59	8.83	along	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	8.83	8.95	the	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	8.95	9.15	way	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	9.15	9.27	of	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	9.27	9.87	seamless	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	9.87	10.47	parlors	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	10.47	11.15	pastures	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	11.15	11.59	plates	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	11.59	11.71	in	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	11.71	12.31	flight	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	12.91	13.03	to	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	13.03	13.31	day	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	13.31	13.75	becomes	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	13.75	13.87	the	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	13.87	14.23	day	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	14.23	14.43	his	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	14.43	15.11	goldfish	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	15.11	15.63	thinking	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	15.63	16.63	stands	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	17.19	17.51	among	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	17.51	18.03	which	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	18.27	18.79	dial	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	18.79	18.91	the	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	18.91	19.31	last	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	19.31	19.43	of	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	19.43	19.55	the	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	19.55	20.19	food	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	20.47	21.11	fuel	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	21.11	21.31	or	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	21.31	21.51	its	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	21.51	21.99	night	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	21.99	22.47	which	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	22.95	23.31	thanks	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	23.31	23.43	for	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	23.43	23.59	the	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	23.59	24.15	money	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	24.59	24.71	in	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	24.71	24.83	the	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	24.83	25.47	park	1
Coolidge-Clark_Complete-Reading_Buffalo_11-14-90	25.71	25.87	the	1
