file	beg	end	text	speaker
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	0.39	0.83	teresi	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	0.83	1.15	is	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	1.15	1.67	like	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	2.59	3.31	softness	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	3.31	3.43	and	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	3.43	4.07	delicacy	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	7.47	7.59	and	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	7.75	8.55	questioning	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	8.55	8.79	where	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	8.79	8.95	your	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	8.95	9.43	listeners	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	9.43	9.79	about	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	9.79	9.95	him	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	10.59	10.75	that	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	10.75	11.19	resulted	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.19	11.27	in	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.27	11.43	that	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.43	11.67	little	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.67	11.91	high	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.91	12.35	woodling	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	12.35	12.67	voice	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	12.67	12.83	that	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	12.83	13.11	some	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	13.19	13.47	people	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	13.47	13.63	have	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.19	14.27	no	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.27	14.59	older	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.59	14.95	folks	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.95	15.15	out	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	15.67	15.87	old	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	15.87	16.11	school	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	16.11	16.43	teaching	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	16.43	16.59	your	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	16.59	17.03	ladies	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.03	17.15	and	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.15	17.27	old	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.27	17.51	school	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.51	17.83	teacher	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.83	18.15	men	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	19.95	19.99	i	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	19.99	20.19	don't	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	20.23	20.39	know	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	20.39	20.59	my	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	21.03	21.35	describe	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	21.39	21.51	for	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	21.51	21.91	something	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	21.91	21.99	or	1
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	24.76	25.08	nineteen	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	25.44	25.8	twenty	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	25.8	26.0	eight	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	28.12	28.52	one	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	28.72	29.12	period	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	29.12	29.56	continues	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	29.6	29.76	the	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	29.76	30.04	great	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	30.04	30.96	laws	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	31.12	31.56	what	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	31.56	31.68	is	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	31.68	31.76	he	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	31.76	32.24	saying	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	32.24	32.44	that	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	32.44	32.64	love	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	32.64	32.88	was	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	32.96	33.2	never	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	33.2	33.48	made	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	33.48	33.6	for	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	33.6	33.88	man	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	33.88	34.0	and	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	34.0	34.24	woman	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	34.24	34.4	to	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	34.4	34.72	crack	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	34.72	35.08	between	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	35.08	35.24	them	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	35.24	35.36	and	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	35.88	36.08	so	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	36.08	36.2	he	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	36.2	36.52	loves	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	36.52	36.64	and	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	36.64	36.92	loves	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	36.92	37.04	his	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	37.04	37.44	sons	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	37.44	37.56	and	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	37.56	37.84	loves	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	37.84	38.0	his	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	38.0	38.12	and	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	38.16	38.76	pleases	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	38.76	38.88	but	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	38.88	39.08	there	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	39.08	39.2	is	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	39.2	39.24	a	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	39.24	39.56	great	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	39.56	39.92	law	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	39.92	40.28	over	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	40.28	40.4	him	2
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	40.44	40.92	which	2
