file	beg	end	text	speaker
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	0.19	0.59	feels	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	0.59	1.19	good	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	1.59	1.87	that	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	1.87	2.23	joy	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	2.23	2.79	lasts	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	2.87	3.15	as	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.15	3.43	long	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.43	3.55	as	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.55	3.71	your	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	3.71	4.03	walk	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	4.03	4.35	through	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	4.35	4.47	the	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	4.47	4.99	city	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	5.15	5.35	and	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	5.35	5.87	dissolves	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	5.87	6.03	when	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	6.03	6.19	you	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	6.19	6.63	return	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	6.63	6.95	home	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	6.95	7.11	to	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	7.11	7.27	your	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	7.27	7.75	work	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	7.95	8.15	to	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	8.15	8.75	how	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	8.75	9.07	far	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.07	9.27	there	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.27	9.39	is	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.39	9.63	left	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.63	9.79	to	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	9.79	10.03	go	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	10.03	10.31	with	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	10.31	10.55	it	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	15.13	15.25	in	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	15.25	15.37	the	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	15.37	15.73	fall	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	15.73	15.81	of	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	15.81	16.21	nineteen	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	16.21	16.49	ninety	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	16.49	17.01	seven	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	17.01	17.05	i	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	17.05	17.41	moved	1
Gladman-Renee_Complete-Reading_Drawing-Room_Tuscon_AZ_02-21-09	17.41	17.65	into	1
