file	beg	end	text	speaker
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	0.31	0.91	nowadays	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	0.91	1.03	i'm	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.03	1.23	more	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.23	1.31	or	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.31	1.51	less	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.51	1.95	content	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	1.95	2.07	to	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.07	2.27	let	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.27	2.31	a	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.31	2.55	lot	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.55	2.67	of	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.67	2.95	things	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	2.95	3.15	take	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	3.15	3.35	their	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	3.35	3.47	own	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	3.47	3.95	courses	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	3.95	4.23	like	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	4.23	4.63	amiable	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	4.63	5.19	rivers	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	5.35	5.71	making	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	5.71	5.91	blue	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	5.91	6.31	lines	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.31	6.55	down	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.55	6.67	the	1
Greenwald-Ted_Complete-Recording_WAMU-FM_3-26-76	6.67	6.87	map	1
