file	beg	end	text	speaker
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	0.47	0.91	keeping	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	0.91	1.31	in	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	1.31	1.47	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	1.47	2.15	sheep	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.15	2.23	or	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.23	2.75	keeping	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.75	2.87	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	2.87	3.39	sheep	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.39	3.71	out	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.71	3.79	of	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.79	3.91	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	3.91	4.39	field	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.39	4.63	that	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.63	4.91	was	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	4.91	5.43	not	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	5.67	5.91	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	5.91	6.47	appointed	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	6.47	7.19	pasture	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	9.31	9.47	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	9.47	10.19	deliberate	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.19	10.87	spacing	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.87	10.99	of	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	10.99	11.15	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	11.15	11.51	fence	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	11.51	12.15	posts	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.15	12.35	was	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.35	12.55	as	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	12.55	13.03	plain	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	13.03	13.23	as	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	13.23	13.51	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	13.51	14.23	apparently	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	14.23	15.11	undeliberate	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.11	15.83	spacing	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.83	15.91	of	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	15.91	16.07	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	16.07	16.55	clumped	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	16.55	17.03	wild	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	17.03	17.71	iris	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.11	18.35	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.35	18.95	iris	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	18.95	19.07	in	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	19.07	19.23	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	19.23	19.75	field	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	19.75	19.99	that	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	19.99	20.27	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.27	20.67	fence	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.67	20.95	kept	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	20.95	21.07	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	21.07	21.43	sheep	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	21.43	22.07	from	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.19	23.39	but	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.39	23.71	this	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.71	23.91	was	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	23.91	24.07	when	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.07	24.19	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.19	24.55	fence	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.55	24.79	was	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	24.79	25.35	new	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	25.67	25.91	and	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	25.91	26.07	is	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	26.07	26.35	not	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	26.35	26.55	what	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	26.55	26.71	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	26.71	27.19	fence	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	27.19	27.79	is	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	28.39	29.27	bulged	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	29.71	29.99	where	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	29.99	30.11	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	30.11	30.63	sheep	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	30.63	30.83	have	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	30.83	31.55	leaned	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	31.83	32.15	not	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	32.15	32.55	one	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	32.55	32.63	of	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	32.63	32.79	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	32.79	33.23	posts	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	33.23	33.83	straight	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	34.19	34.71	broken	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	34.71	34.87	in	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	34.87	35.47	places	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	35.47	35.63	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	35.63	36.23	regular	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	36.23	36.99	spaces	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	36.99	37.11	and	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	37.11	38.15	abstraction	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	39.97	40.13	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	40.13	41.17	rectangles	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	41.17	41.37	are	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	41.37	42.49	untrue	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	42.97	43.29	and	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	43.29	43.57	through	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	43.57	43.69	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	43.69	44.57	holes	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	44.57	44.77	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	44.77	45.21	sheep	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	45.21	45.45	have	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	45.45	46.01	passed	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	46.01	46.29	from	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	46.29	46.61	one	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	46.61	47.21	field	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	47.21	47.57	into	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	47.57	47.73	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	47.73	48.21	next	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	48.21	48.89	field	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	49.09	49.61	cropping	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	49.61	49.73	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	49.73	50.09	wild	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	50.09	50.85	iris	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	51.13	51.33	and	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	51.33	51.97	lessening	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	51.97	52.13	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	52.13	52.77	apparent	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	52.77	53.65	distinction	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	53.65	54.25	between	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	54.25	55.01	field	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	55.25	55.57	and	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	55.57	56.25	field	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	58.34	58.5	it	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	58.5	58.7	is	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	58.7	59.74	dangerous	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	59.74	59.94	to	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	59.94	60.58	say	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	60.58	60.82	with	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	60.82	60.98	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	60.98	61.62	words	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	61.62	62.38	rusting	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	62.38	62.5	as	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	62.5	62.7	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	62.7	63.14	old	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	63.14	63.78	wire	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	63.78	64.38	fence	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	64.38	64.9	read	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	64.9	65.22	where	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	65.22	65.38	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	65.38	66.26	galvanizing	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	66.26	66.46	has	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	66.46	66.78	worn	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	66.78	67.18	off	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	68.31	68.71	whether	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	68.71	68.87	the	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	68.87	69.47	fence	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	69.47	69.71	has	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	69.71	70.51	suffered	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	70.59	70.63	a	1
Moore-Richard_Complete-Reading_Lee-Anderson_Berkeley_03-23-52	70.67	71.11	kind	1
