file	beg	end	text	speaker
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	0.39	0.59	she	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	0.59	0.91	answered	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	0.91	0.99	as	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	0.99	1.23	though	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	1.23	1.35	she	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	1.35	1.47	was	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	1.47	1.95	saying	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	1.95	2.11	it's	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	2.91	3.31	something	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	3.31	3.43	the	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	3.43	3.75	matter	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	5.03	5.23	of	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	5.23	5.59	course	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	5.59	5.71	she	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	5.95	6.15	had	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	6.15	6.39	last	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	6.39	6.67	minute	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	6.67	7.11	revisions	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	7.11	7.47	here	1
Moxley-Jennifer_Complete-Recording_Segue-Ear-Inn_NYC_4-27-96	8.03	8.19	of	1
