file	beg	end	text	speaker
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	0.27	0.43	in	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	0.43	0.59	her	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	0.59	1.11	incredible	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	1.11	1.39	needs	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	2.75	3.03	which	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	3.03	3.15	is	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	3.15	3.55	ours	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	3.55	3.75	which	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	3.75	4.19	is	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	4.19	4.83	ourselves	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	5.31	5.55	this	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	5.55	5.67	is	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	5.67	5.79	our	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	5.79	6.71	jubilation	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	7.27	7.87	exalted	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	7.87	7.99	and	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	7.99	8.15	as	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	8.15	8.63	old	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	8.99	9.11	as	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	9.11	9.31	that	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	9.31	10.19	truthfulness	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	10.51	10.75	which	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	10.75	11.19	illumines	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	11.19	11.51	speech	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.34	14.5	like	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.5	14.62	the	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.62	14.86	wind	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.86	14.98	and	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	14.98	15.1	the	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	15.1	15.74	trees	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	15.74	15.86	and	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	15.86	15.98	the	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	15.98	16.58	bells	1
Oppen-George_Complete-Recording_SUNY-Buffalo_02-17-67	16.58	16.66	of	1
