file	beg	end	text	speaker
PhillyTalks10_Complete-Reading_03-01-99_UPenn	0.59	1.31	texture	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	1.31	2.39	flowers	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	2.71	3.27	troubled	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	3.27	3.99	surface	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	4.03	4.51	foil	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	4.51	4.75	for	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	4.75	5.39	moods	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	5.51	5.99	before	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	5.99	6.15	the	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	6.15	6.55	drop	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	6.55	6.79	to	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	6.79	7.35	darken	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	7.35	7.83	it	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	10.97	11.73	employment	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	11.73	12.21	feigned	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	12.21	13.13	identity	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	13.13	13.37	his	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	13.37	13.93	second	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	13.93	14.49	natured	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	14.49	15.17	jacket	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	15.85	16.41	small	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	16.41	16.93	light	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	17.05	17.33	to	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	17.33	17.89	see	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	17.89	18.25	and	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	18.25	19.09	canvas	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	19.09	19.77	tunnel	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	19.85	20.61	barred	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	20.65	21.53	careen	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	24.37	25.17	inflicted	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	25.17	26.09	benefactor	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	26.25	26.69	claimed	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	26.69	26.85	the	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	26.85	27.17	wind	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	27.17	27.45	that	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	27.45	27.85	brushed	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	27.85	28.01	the	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	28.01	28.89	canvas	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	30.13	30.37	at	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	30.37	30.89	stake	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	30.89	30.93	a	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	30.93	32.09	replication	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	32.17	32.89	slashing	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	32.89	33.49	strokes	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	33.49	34.01	devoid	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	34.01	34.17	of	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	34.17	34.97	testament	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	39.48	40.08	walnut	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	40.08	40.48	panel	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	40.48	40.68	in	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	40.68	40.84	the	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	40.84	41.2	hill	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	41.2	41.88	succumb	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	41.88	42.44	again	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	42.44	42.68	to	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	42.68	43.52	walls	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	45.23	45.79	absent	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	45.79	46.51	patrons	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	46.51	47.07	dry	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	47.07	47.27	the	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	47.27	48.03	passion	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	48.23	48.67	made	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	48.67	49.39	coherent	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	49.39	49.91	cope	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	53.27	53.47	to	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	53.47	53.83	soothe	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	53.83	53.99	the	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	53.99	54.59	sleep	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	54.59	54.95	lose	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	54.95	55.23	what	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	55.23	55.59	won't	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	55.59	55.79	be	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	55.79	56.63	dreamt	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	56.95	57.15	the	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	57.15	57.51	book	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	57.51	57.59	's	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	57.59	58.63	metonymy	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	58.91	59.31	low	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	59.31	60.23	impact	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	60.27	61.31	input	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	61.99	62.35	eerie	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	62.35	62.75	realist	1
PhillyTalks10_Complete-Reading_03-01-99_UPenn	62.75	63.91	security	1
