file	beg	end	text	speaker
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	0.47	1.15	science	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	1.15	1.31	is	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	1.31	1.99	keeping	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	2.79	3.31	work	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	3.31	3.55	is	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	3.55	4.11	reaping	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	5.47	5.67	to	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	5.67	5.79	be	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	5.79	6.39	decorous	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.39	6.59	is	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.59	6.79	not	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.79	6.95	to	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	6.95	7.11	be	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	7.11	8.03	formalistic	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	8.51	8.71	the	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	8.71	9.11	first	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.11	9.27	may	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.27	9.67	simply	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.67	9.83	be	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	9.83	10.19	showing	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	10.19	10.95	sensitivity	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	10.95	11.19	to	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.19	11.23	a	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.23	11.63	formal	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	11.63	12.43	context	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	12.67	12.83	the	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	12.83	13.39	second	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	13.67	14.11	creates	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	14.11	14.15	a	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	14.15	14.71	context	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	16.44	16.56	and	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	16.56	16.88	everyday	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	16.88	17.2	practice	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	17.2	17.44	truths	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	17.44	17.56	are	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	17.56	18.08	detected	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	18.08	18.28	by	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	18.28	18.96	apprehending	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	18.96	19.88	cadences	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	20.12	20.52	these	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	20.52	20.68	are	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	20.68	21.56	confirmed	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	21.6	21.8	by	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	21.84	21.88	a	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	21.88	22.24	kind	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	22.24	22.36	of	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	22.36	22.96	subliminal	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	22.96	23.76	sounding	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	23.84	24.08	that	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	24.08	24.6	employs	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	24.6	25.48	aspects	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	25.6	25.8	of	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	25.8	26.36	vision	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	26.36	26.6	and	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	26.6	26.92	touch	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	28.96	29.36	charm	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	29.36	29.88	furthers	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	29.88	30.8	propagation	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	31.8	32.0	they	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	32.0	32.12	can	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	32.12	32.84	interrupt	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	32.84	33.08	or	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	33.08	33.44	stop	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	33.44	34.04	anything	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	34.04	34.16	but	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	34.16	34.52	true	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	34.52	35.48	celebration	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	35.92	37.0	celebration	1
Piombino-Nick_Complete-Recording_Ear-Inn_NY_4-22-89	37.08	38.12	celebration	1
