file	beg	end	text	speaker
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.15	0.59	shaking	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.59	0.67	it	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.67	0.71	i	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.71	0.91	look	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.91	0.99	at	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	0.99	1.15	your	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.15	1.47	watch	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.47	1.67	which	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.67	1.79	is	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	1.79	2.07	white	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	2.07	2.43	roman	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	2.43	2.63	hume	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	2.63	2.91	rules	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	2.91	3.03	on	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	3.03	3.07	a	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	3.07	3.43	black	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	3.43	3.91	face	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	4.23	4.27	i	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	4.27	4.63	passed	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	4.91	4.95	i	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	5.35	5.51	the	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	5.51	5.95	magazine	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	5.95	6.35	trembles	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	6.35	6.47	at	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	6.47	6.63	your	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	6.63	6.99	elbow	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	7.03	7.19	and	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	7.19	7.23	a	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	7.23	7.59	bright	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	7.59	7.83	yellow	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	7.83	8.23	card	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	8.23	8.59	falls	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	8.59	8.67	to	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	8.67	8.79	the	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	8.79	9.27	floor	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	9.59	9.91	picking	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	9.91	9.99	it	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	9.99	10.07	up	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.07	10.23	with	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.23	10.31	my	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.31	10.59	left	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.59	10.83	hand	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.83	10.87	i	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	10.87	11.31	read	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	11.35	11.55	what	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	11.55	11.67	you	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	11.67	11.83	have	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	11.83	11.91	in	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	11.91	12.07	your	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	12.07	12.39	right	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	12.39	12.59	hand	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	12.59	12.75	is	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	12.75	12.87	an	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	12.87	13.43	umbrella	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	20.27	20.91	note	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	21.75	21.91	will	1
Raworth-Tom_Complete-Reading_MFA-Reading-Series_Boise_2-22-13	21.91	22.03	the	1
