file	beg	end	text	speaker
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	1.11	1.15	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	1.15	1.51	big	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	1.51	2.23	evergreen	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	2.23	2.71	tree	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	2.71	3.39	stands	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	3.39	3.91	outside	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	3.91	4.15	my	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	4.15	4.87	window	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	5.59	5.95	its	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	5.95	6.51	roots	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	6.51	7.15	mumble	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	7.19	7.47	under	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	7.47	7.59	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	7.59	8.39	surface	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	9.75	9.79	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	9.79	10.31	long	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	10.31	10.99	concrete	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	10.99	11.91	divider	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	12.03	12.95	steps	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	12.95	13.31	three	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	13.31	13.43	at	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	13.43	13.47	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	13.47	14.03	time	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	14.59	15.31	sky	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	15.31	15.83	cloudy	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	15.83	16.03	and	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	16.03	16.71	heavy	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	17.19	18.03	squeezing	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	18.03	18.07	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	18.07	18.75	thin	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	18.75	19.23	layer	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	19.23	19.39	of	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	19.39	19.99	light	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	20.11	20.55	against	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	20.55	20.79	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	20.79	21.07	city	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	22.88	23.12	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	23.12	23.32	first	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	23.32	23.48	red	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	23.48	24.28	leaves	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	24.32	24.52	of	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	24.52	24.72	an	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	24.72	25.6	otherwise	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	25.72	26.4	green	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	26.4	27.24	shrub	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	30.15	30.31	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	30.31	31.03	sisters	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	31.07	31.31	are	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	31.31	31.71	gone	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	31.71	31.87	from	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	31.87	32.03	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	32.03	32.95	convent	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	34.15	34.31	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	34.31	35.35	dancers	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	35.39	35.63	are	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	35.63	35.99	gone	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	35.99	36.15	from	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	36.15	36.35	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	36.35	36.91	hill	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	38.11	38.99	mourning	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	39.11	39.47	has	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	39.47	39.75	come	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	39.75	39.95	to	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	39.95	40.23	its	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	40.23	40.87	noon	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	42.47	42.67	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	42.67	43.11	height	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	43.11	43.23	of	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	43.23	43.39	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	43.39	43.99	tree	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	43.99	44.35	has	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	44.35	44.83	grown	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	44.83	45.31	rough	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	45.31	46.39	scales	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	47.51	47.63	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	47.63	48.35	trunk	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	48.43	48.83	bends	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	48.83	49.07	its	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	49.07	49.39	hip	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	49.39	49.55	to	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	49.55	49.71	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	49.71	50.39	left	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	51.15	51.43	and	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	51.43	52.11	shakes	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	52.11	52.43	its	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	52.43	53.27	disheveled	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	53.27	54.19	branches	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	55.03	55.31	to	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	55.31	55.35	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	55.35	56.11	secret	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	56.15	57.03	music	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	57.31	57.51	of	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	57.51	58.47	release	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	63.3	63.54	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	63.54	64.34	trunk	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	65.02	65.46	bends	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	65.46	65.74	its	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	65.74	66.1	hip	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	66.14	66.42	to	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	66.42	66.54	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	66.54	67.34	left	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	68.35	68.59	and	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	68.59	69.31	shakes	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	69.31	69.67	its	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	69.67	70.51	disheveled	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	70.79	71.87	branches	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	72.87	73.11	to	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	73.11	73.15	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	73.15	73.95	secret	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	73.95	74.91	music	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	75.27	75.47	of	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	75.47	76.43	release	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	85.99	86.23	now	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	86.23	86.59	there's	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	86.59	87.35	another	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	92.57	92.89	home	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	92.89	93.21	about	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	93.21	93.45	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	93.45	94.21	morning	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	96.38	97.14	morning	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	97.14	97.74	prayer	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	97.74	98.02	it's	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	98.02	98.78	called	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	98.94	99.74	yes	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	101.46	101.78	i'd	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	101.78	102.02	like	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	102.02	102.3	to	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	102.86	103.14	read	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	103.14	103.42	this	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	103.42	103.86	morning	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	103.86	104.42	prayer	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	104.42	104.66	since	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	104.66	104.7	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	104.7	104.9	kind	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	104.9	104.98	of	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	104.98	105.38	call	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	105.38	105.58	for	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	105.58	106.18	help	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	113.99	114.43	morning	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	114.43	115.07	prayer	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	121.53	121.93	help	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	122.09	122.73	me	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	124.27	124.31	i	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	124.35	125.11	murmur	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	126.43	126.71	as	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	126.71	126.91	if	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	126.91	126.95	i	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	126.95	127.59	knew	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	127.59	127.95	to	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	127.95	128.27	whom	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	128.27	128.31	i	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	128.31	129.19	speak	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	129.83	130.07	or	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	130.07	130.31	what	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	130.31	130.55	i'm	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	130.55	131.07	asking	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	131.07	131.75	for	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	133.64	134.12	sitting	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	134.12	134.24	in	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	134.24	134.44	my	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	134.44	135.44	nightgown	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	135.44	135.76	for	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	135.76	136.48	coffee	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	136.48	136.68	by	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	136.68	136.84	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	136.84	137.56	window	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	138.87	139.43	walking	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	139.43	139.63	up	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	139.63	140.11	third	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	140.11	140.99	avenue	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	142.39	143.31	waiting	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	143.47	143.71	in	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	143.71	143.91	my	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	143.91	144.99	studio	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	145.39	145.59	by	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	145.59	145.75	the	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	145.75	146.11	clay	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	146.11	147.03	bins	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	148.63	149.15	oh	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	149.27	149.75	help	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	149.75	150.31	me	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	151.27	151.47	and	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	151.47	152.15	sometimes	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	152.15	152.19	i	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	152.23	152.75	hold	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	152.75	152.99	my	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	152.99	153.99	breasts	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	154.75	154.95	and	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	154.95	154.99	a	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	154.99	155.67	stronger	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	155.67	156.35	pulse	1
Richards-MC_Complete-Recording_Indre-Studios-Philadelphia_5-5-97	156.35	156.79	beats	1
