file	beg	end	text	speaker
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	0.35	1.03	forward	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.03	1.19	and	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.19	1.31	to	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.31	1.43	the	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	1.43	1.91	right	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	4.06	4.82	zeroing	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	4.82	5.02	in	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	5.02	5.5	on	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.34	6.38	a	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.38	6.74	rhythm	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.74	6.86	of	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	6.86	7.34	speech	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.34	7.5	that	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.5	7.86	moves	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	7.86	8.06	from	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.06	8.34	heart	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.34	8.54	to	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	8.54	9.1	heart	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	9.5	10.14	zeroing	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	10.14	10.34	in	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	10.34	10.82	on	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.06	11.22	and	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.22	11.34	in	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.34	11.46	the	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	11.46	11.98	moment	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.06	12.46	unable	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.46	12.54	to	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.54	12.78	hold	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	12.78	13.02	on	1
Robinson-Kit_Complete-Reading_POG-Drawing-Studio_10-24-09	13.02	13.18	to	1
