file	beg	end	text	speaker
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	0.35	0.59	it's	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	0.59	0.63	a	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	0.67	1.07	ghetto	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	1.07	1.59	mall	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	1.79	2.11	with	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	2.11	2.43	anchor	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	2.43	2.87	tenants	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	2.87	3.11	like	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	3.11	3.83	woolworths	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	3.91	4.59	security	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	4.59	4.95	guards	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	4.95	5.35	wearing	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	5.35	5.91	guns	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.11	6.35	with	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.35	6.67	seven	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.67	6.83	or	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	6.83	7.23	eight	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	7.59	7.95	cheap	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	7.95	8.19	shoe	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	8.19	8.59	stores	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	8.59	8.91	white	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	8.91	9.43	mannequins	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	9.43	9.59	and	1
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	9.59	9.99	pennies	1
