file	beg	end	text	speaker
Sze-Arthur_Complete-Recording_UPenn_12-5-06	0.35	1.15	whitecaps	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.19	1.87	until	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	1.87	2.47	water	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.63	2.67	a	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.67	2.95	few	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	2.95	3.63	freighters	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	3.63	4.27	zigzag	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.27	4.67	down	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.67	4.91	from	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	4.91	5.03	the	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	5.03	5.51	black	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	5.51	5.95	sea	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	6.63	7.31	sunlight	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	7.31	8.03	flares	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.03	8.15	at	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.15	8.27	the	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.27	8.91	edges	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	8.91	9.07	of	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	9.07	9.95	leaves	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.07	10.43	heat	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	10.43	11.03	ripples	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.03	11.23	up	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.23	11.47	from	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.47	11.59	the	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.59	11.95	noon	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	11.95	13.11	street	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.11	13.31	and	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.31	13.55	from	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	13.55	14.03	rusted	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	14.03	14.39	car	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	14.39	15.11	tops	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.55	15.71	the	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	15.71	16.19	salt	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.19	16.27	in	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.27	16.55	the	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.55	16.87	air	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	16.87	17.55	stings	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	17.55	17.83	my	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.07	18.55	eyes	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.75	18.79	i	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	18.79	19.27	lift	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	19.27	19.31	a	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	19.31	19.95	latch	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	20.07	20.67	step	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	20.79	21.19	into	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	21.19	21.23	a	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	21.23	22.11	patio	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.31	22.79	bird	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.79	22.95	of	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	22.95	23.71	paradise	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	23.71	23.99	in	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	23.99	24.75	bloom	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	25.63	25.83	but	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	25.83	26.55	approaching	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	26.55	26.67	the	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	26.67	27.27	window	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	27.35	27.39	i	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	27.39	27.87	find	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	27.87	28.47	peeled	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	28.47	29.03	paint	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	29.47	30.51	cobwebs	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	30.79	31.03	it's	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	31.03	31.59	stingy	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	31.59	32.39	inside	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	32.67	32.71	i	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	32.71	33.47	turn	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	33.91	34.71	wade	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	34.75	35.07	into	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	35.07	35.75	sleep	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	38.4	38.64	do	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	38.64	38.76	as	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	38.76	39.0	you're	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	39.0	39.32	told	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	39.32	39.72	scum	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	39.72	40.12	sucker	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	40.12	40.44	you're	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	40.44	40.56	the	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	40.56	40.96	reason	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	40.96	41.16	there	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	41.16	41.28	are	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	41.28	41.92	hydrogen	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	41.92	42.72	bombs	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	42.88	43.4	yelled	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	43.4	43.48	at	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	43.48	43.64	the	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	43.64	44.16	postal	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	44.16	44.8	worker	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	44.8	45.12	behind	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	45.12	45.24	the	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	45.24	46.04	counter	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	47.59	47.87	it	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	47.87	48.79	leopards	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	48.79	49.07	the	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	49.07	49.79	body	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	50.59	51.27	cringes	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	51.27	51.39	at	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	51.39	52.03	strangled	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	52.03	52.91	anteaters	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	52.91	53.03	and	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	53.03	53.75	raccoons	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	53.75	54.31	hanging	1
Sze-Arthur_Complete-Recording_UPenn_12-5-06	54.31	54.39	in	1
