file	beg	end	text	speaker
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	0.31	0.55	you're	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	0.55	1.23	scared	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	1.67	1.87	they	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	1.87	2.07	break	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	2.07	2.23	your	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	2.23	2.87	heart	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	3.43	3.63	they	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	3.63	4.03	examine	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	4.03	4.23	where	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	4.23	4.47	you've	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	4.47	4.87	been	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	5.67	5.79	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	5.79	6.07	boy	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.07	6.35	drank	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.35	6.47	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.47	6.71	bottle	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.71	6.79	of	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.79	7.11	milk	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	7.11	7.23	at	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	7.23	7.87	harry	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	8.55	8.75	they	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	8.75	8.99	find	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	8.99	9.11	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.11	9.39	memory	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.39	9.47	of	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.47	9.67	your	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.67	10.35	voice	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	10.95	11.11	it	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	11.11	11.47	talks	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	11.47	11.87	to	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	11.87	12.39	say	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	12.39	12.79	your	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	12.79	13.43	hand	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.03	14.19	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.19	14.47	hand	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.47	14.83	touches	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.83	14.95	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.95	15.23	word	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	15.23	15.27	's	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	15.27	15.91	body	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	16.43	16.63	they	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	16.63	16.75	are	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	16.75	16.87	all	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	16.87	17.23	beating	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	17.23	17.39	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	17.39	17.67	air	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	17.67	18.23	saying	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	18.23	18.55	who	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	18.55	18.67	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	18.67	19.39	capital	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	19.39	20.71	expired	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	20.71	20.75	i	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	20.75	20.83	DS	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	20.83	21.11	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	21.11	21.43	word	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	21.43	21.87	world	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	21.87	22.07	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	22.07	22.19	one	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	22.19	22.51	without	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	22.51	22.55	a	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	22.55	22.91	play	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	22.91	22.99	in	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	22.99	23.35	it	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	23.99	24.35	answer	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	24.35	24.67	marks	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	24.67	24.79	are	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	24.79	24.95	made	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	24.95	25.07	of	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	25.07	25.59	rubber	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	26.48	26.68	scrub	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	26.68	27.0	like	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	27.0	27.24	for	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	27.24	28.12	because	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	28.68	29.44	until	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	29.64	30.4	until	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	30.92	31.52	insert	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	31.52	31.72	holy	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	31.72	32.24	picture	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	32.24	32.32	in	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	32.32	32.68	cash	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	32.68	33.36	machine	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	33.91	34.35	insists	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	34.35	35.11	stickman	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	35.11	35.27	is	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	35.27	35.63	official	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	35.63	36.43	signature	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	37.07	37.59	total	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	37.59	38.07	wooing	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	38.27	38.79	lips	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	38.79	39.23	road	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	39.23	39.67	house	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	39.67	40.07	tooth	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	40.07	40.55	genuine	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	40.55	40.91	dog	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	40.91	41.47	doing	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	42.39	42.91	mailman	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	42.91	42.95	's	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	42.95	43.59	overhand	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	43.59	43.99	causes	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	43.99	44.35	paper	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	44.35	44.87	cut	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	45.79	46.07	i'm	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	46.07	46.59	held	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	46.59	46.75	in	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	46.75	47.03	your	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	47.03	47.63	eyes	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	48.15	48.39	now	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	48.39	48.59	you	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	48.59	48.83	must	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	48.83	49.03	look	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	49.03	49.15	at	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	49.15	49.39	me	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	51.2	51.48	foreign	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	51.48	51.56	to	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	51.56	51.68	be	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	51.68	51.84	wary	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	51.84	52.08	burst	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	52.08	52.2	out	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	52.2	52.36	with	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	52.36	52.52	an	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	52.52	52.8	axe	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	52.8	53.4	diseases	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	53.4	53.76	names	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	53.76	53.92	and	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	53.92	54.84	enslavement	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	54.96	55.44	secret	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	55.44	55.92	trumps	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	55.92	56.12	from	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	56.12	56.52	trust	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	56.52	56.6	to	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	56.6	57.36	scandal	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	57.4	57.56	or	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	57.56	58.0	fallen	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	58.0	58.44	fears	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	58.44	58.76	bottom	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	58.76	59.64	promises	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	60.24	60.4	but	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	60.4	60.52	we	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	60.52	60.8	took	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	60.8	61.12	it	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	61.4	61.8	told	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	61.8	62.16	it	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	62.4	62.6	and	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	62.6	62.84	made	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	62.84	63.12	why	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	63.12	63.36	up	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	63.36	63.76	after	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	63.76	64.56	because	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	65.83	65.99	he	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	65.99	66.31	doesn't	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	66.31	66.51	fall	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	66.51	66.63	for	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	66.63	66.75	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	66.75	67.59	possible	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	67.59	67.75	but	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	67.75	67.87	for	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	67.87	67.99	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	67.99	68.95	possibility	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	69.95	70.35	washes	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	70.35	70.59	out	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	70.59	70.75	or	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	70.75	71.11	flat	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	71.11	71.51	anyway	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	71.51	71.67	with	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	71.67	71.87	his	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	71.87	72.27	thinking	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	72.27	72.95	scene	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	73.75	74.07	fifty	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	74.07	74.43	things	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	74.43	74.75	without	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	74.75	74.99	which	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	74.99	75.35	getting	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	75.35	75.59	along	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	75.59	76.39	wonders	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	76.39	76.63	is	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	76.63	77.27	wonder	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	77.91	78.47	sensual	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	78.47	79.07	necessity	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	79.07	79.35	gets	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	79.35	80.03	angry	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	80.27	80.75	effects	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	80.75	81.27	perfume	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	81.27	82.19	situation	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	82.39	82.83	clubs	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	82.83	82.99	for	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	82.99	83.59	bedrooms	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	83.59	84.27	heads	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	84.75	85.27	faking	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	85.27	85.39	as	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	85.39	85.43	a	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	85.43	85.87	gift	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	85.87	86.11	puts	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	86.11	86.35	out	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	86.35	86.55	all	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	86.55	87.11	over	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	87.79	87.99	out	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	87.99	88.07	of	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	88.07	88.19	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	88.19	88.51	head	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	88.51	88.63	is	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	88.63	88.67	a	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	88.67	89.11	wraith	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	89.11	89.19	of	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	89.19	89.31	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	89.31	89.83	looker	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	90.43	90.67	and	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	90.67	90.95	i'm	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	90.95	91.51	free	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	95.62	95.78	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	95.78	96.06	last	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	96.06	96.42	scene	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	96.42	96.58	i'd	1
