file	beg	end	text	speaker
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	0.4	0.52	The	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	0.52	0.88	history	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	0.88	1.04	of	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	1.04	1.36	someone	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	1.36	1.48	who	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	1.48	1.76	came	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	1.76	1.96	too	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	1.96	2.4	late.	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	3.2	3.32	The	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	3.32	3.64	time	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	3.64	3.8	is	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	3.8	4.16	ripe	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	4.16	4.6	now	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	4.92	5.08	and	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	5.08	5.2	the	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	5.2	5.76	adage	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	5.76	5.92	is	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	5.92	6.52	hatching	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	6.88	7.04	as	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	7.04	7.16	the	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	7.16	7.72	seasons	
