file	beg	end	text	speaker
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	1.24	1.44	This	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	1.44	1.96	illusion	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	1.96	2.32	comes	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	2.32	2.52	up	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	2.52	2.92	very	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	2.92	3.52	close.	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	3.68	3.84	The	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	3.84	4.36	objects	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	4.36	4.52	in	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	4.52	4.68	it	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	4.68	4.96	look	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	4.96	5.24	like	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	5.24	5.76	familiar	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	5.76	6.28	things.	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	6.92	7.08	It	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	7.08	7.52	happens	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	7.52	7.64	at	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	7.64	8.08	times	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	8.08	8.24	that	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	8.24	8.44	come	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	8.44	8.68	to	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	8.68	9.04	us	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	9.04	9.16	in	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	9.16	9.24	a	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	9.24	9.72	direct	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	9.72	10.16	line	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	11.32	11.52	as	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	11.52	12.08	light	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	12.28	12.8	moving	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	12.8	12.96	at	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	12.96	13.0	a	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	13.0	13.4	pretty	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	13.4	13.92	pace.	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	16.72	16.96	People	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	16.96	17.08	in	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	17.08	17.92	delirium	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	17.92	18.12	run	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	18.12	18.44	toward	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	18.44	18.68	it.	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	19.48	19.6	It	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	19.6	19.84	has	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	19.84	20.04	one	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	20.04	20.12	of	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	20.12	20.68	nature's	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	20.68	21.28	failings.	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	22.56	23.2	Loveliness	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	23.2	23.36	is	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	23.36	23.6	not	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	23.6	23.72	the	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	23.72	24.16	less	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	24.16	24.32	when	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	24.32	24.48	it's	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	24.48	25.28	uncertain.	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	25.92	26.4	Strange	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	26.4	26.6	we	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	26.6	26.72	have	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	26.72	26.96	come	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	26.96	27.44	back.	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	45.84	46.12	This	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	46.12	46.44	type	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	46.44	46.8	study	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	46.8	47.0	is	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	47.0	47.2	what	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	47.2	47.6	started	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	47.6	47.72	all	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	47.72	47.88	the	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	47.88	48.44	trouble	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	49.64	49.88	with	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	49.88	50.2	any	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	50.2	50.88	Elvers	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	50.88	51.04	for	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	51.04	51.36	me.	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	52.4	52.52	I've	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	52.72	52.84	long	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	52.84	53.04	been	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	53.04	53.08	a	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	53.08	53.4	fan	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	53.4	53.52	of	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	53.52	53.64	her	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	53.64	54.0	work	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	54.0	54.16	and	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	54.16	54.32	had	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	54.32	54.56	on	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	54.56	55.04	leaving	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	55.04	55.12	and	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	55.84	56.0	knew	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	56.0	56.16	it	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	56.16	56.56	well.	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	57.36	57.92	And	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	58.24	58.32	um	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	60.76	60.8	I	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	60.8	61.12	just	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	61.12	61.32	saw	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	61.32	61.44	it	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	61.44	61.92	differently	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	61.92	62.12	one	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	62.12	62.56	day	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	62.68	62.92	and	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	62.92	63.0	I	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	63.0	63.64	went	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	63.64	64.08	to	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	64.84	65.08	some	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	65.08	65.48	links	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	65.48	65.6	to	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	65.6	65.76	try	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	65.76	65.92	to	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	65.92	66.4	publish	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	66.4	66.6	it	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	66.6	66.72	in	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	66.72	67.64	Jubelot.	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	67.68	67.84	Just	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	67.84	68.0	one	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	68.0	68.08	of	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	68.08	68.16	the	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	68.56	68.8	other	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	68.8	69.04	things	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	69.04	69.16	that	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	69.16	69.28	I	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	69.28	69.64	do.	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	69.72	69.76	I	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	69.76	70.12	had	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	70.12	70.24	it	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	70.24	70.72	there.	
