file	beg	end	text	speaker
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	0.28	0.88	Stinking	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	0.88	1.04	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	1.04	1.72	sewers	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	1.96	2.16	and	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	2.16	2.24	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	2.24	3.04	myself,	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	3.28	3.84	stinking	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	3.84	3.88	a	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	3.88	4.48	bit	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.48	4.64	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.64	4.76	the	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	4.76	5.28	lighter's	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	5.28	5.84	flame,	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	6.0	6.52	stinking	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	6.52	6.76	like	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	6.76	7.08	that	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	7.08	7.56	rotten	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	7.56	8.2	apple,	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	8.24	8.88	stinking	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	8.88	9.16	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	9.16	9.84	stupid	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	9.84	10.6	songs	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	10.64	11.16	sung	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	11.16	12.12	nowadays,	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	12.32	12.6	and	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	12.6	12.72	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	12.72	13.52	myself,	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	13.8	14.48	collected	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	14.48	15.32	garbage	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	15.32	15.64	gives	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	15.64	16.28	off	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	16.28	16.36	a	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	16.36	17.0	distinct	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	17.0	17.48	smell	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	17.48	17.64	on	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	17.64	17.72	the	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	17.72	18.4	street.	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	18.64	19.4	Stinking	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	19.48	20.44	stinking	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	20.44	20.64	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	20.64	21.32	shoes	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	21.32	21.48	and	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	21.48	21.6	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	21.6	22.28	myself,	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	22.28	22.48	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	22.48	23.04	mice,	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	23.24	23.4	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	23.4	23.84	neon	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	23.84	24.48	sweat,	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	24.6	24.8	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	24.8	25.6	chairs	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	25.64	25.92	and	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	25.92	26.08	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	26.08	26.92	myself,	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	27.0	27.2	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	27.2	27.8	useless	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	27.8	28.44	news	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	28.48	28.68	and	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	28.68	28.84	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	28.84	29.64	myself.	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	30.04	30.64	Stinking	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	30.64	30.84	under	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	30.84	30.96	the	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	30.96	31.52	moon,	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	31.72	31.92	my	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	31.92	32.56	nose	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	32.76	33.52	stuffy	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	33.76	34.0	from	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	34.0	34.68	carbonic	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	34.68	35.28	gas,	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	35.48	35.6	the	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	35.6	36.12	nose	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	36.12	36.24	of	
Bonvicino-Regis_Complete-Reading_Close-Listening_10-13-09	36.24	36.36	the	
