file	beg	end	text	speaker
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	1.84	1.96	I	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	1.96	2.24	thought	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.24	2.32	to	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.32	2.48	go	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.48	2.6	to	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	2.6	3.16	Chicago	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	3.16	3.4	right	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	3.4	3.92	away	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	4.24	4.44	and	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	4.44	5.08	suddenly,	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	5.72	6.68	inexplicably,	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	7.16	7.32	my	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	7.32	7.64	will	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	7.64	8.08	failed	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	8.08	8.32	me.	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	9.68	9.92	Was	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	9.92	10.0	it	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.0	10.2	that	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.2	10.32	I'd	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.32	10.64	gotten	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.64	10.84	so	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	10.84	11.36	accustomed	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.36	11.44	to	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.44	11.68	living	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.68	11.8	all	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.8	11.96	by	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	11.96	12.48	myself	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	12.48	12.72	during	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	12.72	12.84	the	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	12.84	13.2	past	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	13.2	13.4	4	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	13.4	13.84	months	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	14.16	14.32	that	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	14.32	14.36	I	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	14.36	14.72	needed	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	14.72	14.88	no	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	14.88	15.04	one	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	15.04	15.44	else?	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	16.76	16.92	An	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	16.92	17.2	older	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	17.2	17.56	woman,	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	17.56	17.64	a	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	17.64	18.08	second	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	18.08	18.6	cousin,	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	18.76	18.96	took	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	18.96	19.12	me	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	19.12	19.24	in	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	19.24	19.76	hand,	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	20.48	20.68	but	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	20.68	20.76	I	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	20.76	20.96	was	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	20.96	21.16	able	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	21.16	21.28	to	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	21.28	21.48	keep	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	21.48	21.64	my	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	21.64	22.28	detachment	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	22.28	22.48	by	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	22.48	22.8	seeing	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	22.8	22.92	that	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	22.92	23.0	it	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	23.0	23.16	was	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	23.16	23.32	only	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	23.32	23.48	my	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	23.48	23.8	mental	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	23.8	24.16	image	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	24.16	24.28	of	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	24.28	24.44	her	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	24.44	24.6	that	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	24.6	24.72	was	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	24.72	25.04	making	
Bromige-David_Complete-Recording_Cal-Tech_3-7-72	25.04	25.28	love	
