file	beg	end	text	speaker
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	0.3	1.1	arrows	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	1.1	1.3	and	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	1.3	1.9	arrow	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	1.9	2.2	same	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	2.2	2.7	damn	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	2.7	2.9	deal	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	4.0	4.4	kissing	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	4.4	5.2	eliminates	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	5.2	5.6	Fusion	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	5.6	5.6	of	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	5.6	6.4	agitation	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	6.4	6.7	and	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	6.7	7.1	dreams	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	8.4	8.9	folded	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	8.9	9.1	in	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	9.1	9.2	the	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	9.2	9.5	days	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	10.2	10.4	they	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	10.4	11.0	surprising	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	11.0	11.5	moments	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	11.5	11.7	with	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	11.7	11.8	you	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	13.3	14.1	look	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.1	14.3	under	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.3	14.6	pain	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.6	14.8	and	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	14.8	15.2	find	1
Conrad-CA_Complete-Reading_War-and-Peace-3_Peace-on-A_11-2007	15.2	15.4	me	1
