file	beg	end	text	speaker
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	0.16	0.52	You	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	0.52	0.64	will	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	0.64	1.16	absolutely	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	1.16	1.6	not.	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	1.92	2.08	It	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	2.08	2.24	is	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	2.24	2.68	perhaps	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	2.68	2.8	and	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	2.8	2.92	of	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	2.92	3.28	course	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	3.28	3.52	because	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	3.52	3.64	of	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	3.64	3.76	the	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	3.76	4.04	poor	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	4.04	4.48	bird,	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	4.6	4.84	then	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	4.84	5.08	give	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	5.08	5.68	yourself.	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	5.84	6.04	He	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	6.04	6.2	will	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	6.2	6.88	absolutely	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	6.88	7.28	not	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	7.28	7.72	kick	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	8.2	8.56	playing	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	8.56	8.64	the	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	8.64	9.08	body.	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	9.48	10.0	Perhaps	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	10.0	10.32	even	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	10.32	10.6	to	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	10.84	11.24	smell	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	11.24	11.32	of	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	11.32	11.44	the	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	11.44	12.04	playing.	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	12.36	12.68	Only	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	12.68	12.84	he	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	12.84	12.96	is	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	12.96	13.4	permitted	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	13.4	13.56	when	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	13.56	14.32	necessary.	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	15.08	15.2	The	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	15.2	15.72	tiniest	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	15.72	15.8	of	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	15.8	16.16	thoughts	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	16.16	16.32	and	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	16.32	16.72	even	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.04	17.16	if	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.16	17.28	he	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.28	17.44	was	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.44	17.64	played	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.64	17.8	by	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.8	17.96	an	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	17.96	18.28	actor,	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	18.28	18.44	he	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	18.44	18.6	should	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	18.6	18.72	be	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	18.72	18.96	played	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	18.96	19.12	by	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	19.12	19.24	an	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	19.24	19.52	actor	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	19.52	19.68	who's	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	19.68	19.92	never	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	19.92	20.24	acted	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	20.24	20.76	before.	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	20.96	21.16	Who's	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	21.16	21.44	always	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	21.44	21.6	been	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	21.6	21.72	more	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	21.72	21.8	of	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	21.8	21.92	an	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	21.92	22.44	introverted	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	22.44	22.72	type	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	22.72	22.84	of	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	22.84	23.08	guy	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	23.08	23.2	than	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	23.2	23.68	somebody	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	23.68	23.72	who	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	23.72	23.96	loves	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	23.96	24.08	the	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	24.08	24.68	limelight.	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	25.2	25.36	He	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	25.36	25.52	could	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	25.52	25.64	be	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	25.64	25.88	played	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	25.88	26.0	by	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	26.0	26.28	Steve	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	26.28	26.92	Mclaughlin,	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	27.12	27.24	a	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	27.24	27.88	6'2	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	27.88	28.08	young	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	28.08	28.36	man	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	28.36	28.56	with	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	28.56	28.96	beautiful	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	28.96	29.16	pink	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	29.16	29.24	and	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	29.24	29.52	white	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	29.52	29.92	skin	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	30.04	30.24	long	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	30.24	30.4	thin	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	30.4	31.0	muscles.	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	31.48	31.52	He	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	31.52	31.6	was	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	31.6	31.8	trying	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	31.8	31.88	to	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	31.88	32.08	make	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	32.08	32.16	a	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	32.16	32.44	live	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	32.44	32.8	journal	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	32.8	32.92	in	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	32.92	33.0	the	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	33.0	33.28	voice	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	33.28	33.4	of	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	33.4	33.56	his	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	33.56	34.0	character	
Corrigan-Cecilia_Complete-Reading_Segue-BPC_1-9-11	34.0	34.56	Christmas's	
