file	beg	end	text	speaker
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	0.0	0.72	Lib	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	0.72	1.36	Erty	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	1.4	1.84	rings	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	1.84	1.96	the	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	1.96	2.48	doorbell	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	2.48	2.76	at	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	2.8	3.2	Gene	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	3.2	3.4	our	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	3.4	4.04	nation	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	4.08	4.24	to	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	4.24	4.6	discuss	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	4.6	4.72	the	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	4.72	5.08	results	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	5.08	5.28	with	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	5.28	5.36	a	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	5.36	5.84	genetic	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	5.84	6.36	counselor.	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	6.72	6.88	When	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	6.88	6.96	the	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	6.96	7.24	door	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	7.24	7.72	opens,	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	7.72	7.96	she's	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	7.96	8.44	surprised	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	8.44	8.52	to	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	8.52	8.84	find	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	8.84	8.92	a	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	8.92	9.24	room	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	9.24	9.52	full	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	9.52	9.6	of	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	9.6	9.92	people	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	9.92	10.24	dressed	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	10.24	10.4	as	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	10.4	10.64	crime	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	10.64	10.92	scene	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	10.92	11.68	investigators.	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	12.24	12.28	A	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	12.28	12.56	young	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	12.56	12.84	woman	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	12.84	13.0	in	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	13.0	13.08	a	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	13.08	13.6	white	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	13.6	14.36	jumpsuit	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	14.36	14.56	with	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	14.56	14.68	her	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	14.68	15.2	forehead	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	15.2	16.0	tattooed	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	16.0	16.2	I	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	16.2	16.64	dream	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	16.64	16.84	of	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	16.84	17.48	Genie's	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	17.92	18.68	skateboards	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	18.68	18.96	over	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	18.96	19.12	to	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	19.12	19.44	her.	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	19.68	19.96	Just	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	19.96	20.32	imagine	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	20.32	20.36	a	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	20.36	20.88	skateboard.	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	20.92	21.28	Okay.	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	25.76	26.28	Welcome,	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	26.28	26.48	I'm	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	26.48	26.76	Gal	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	26.76	27.4	Corkery.	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	30.04	30.28	hear	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	30.28	30.4	for	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	30.4	30.64	your	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	30.64	31.12	Burka	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	31.12	31.28	test	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	31.28	31.72	result?	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	32.2	32.56	Yes,	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	32.56	32.8	I'm	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	32.84	33.08	I'm	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	33.08	33.48	Lib	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	33.48	34.0	Erti.	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	34.24	34.36	And	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	34.36	34.44	my	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	34.44	34.84	doctor	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	34.84	35.2	called	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.2	35.32	to	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.32	35.48	say	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.48	35.64	that	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.64	35.72	it	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.72	35.88	was	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	35.88	36.24	ready.	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	36.88	37.68	Unfortunately,	
Darragh-Tina_Complete-Recording_Segue_Zinc-Bar_01-05-13	37.68	37.8	we	
