file	beg	end	text	speaker
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	0.1	0.4	the	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	0.4	0.6	winter	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	0.6	1.6	sanctuary	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	1.6	1.7	of	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	1.7	1.7	the	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	1.7	2.1	rare	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	2.1	3.1	jailbird	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	3.1	3.7	and	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	3.7	4.1	the	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	4.1	4.7	ishmaelite	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	4.7	5.3	the	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	5.3	5.9	esoteric	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	5.9	6.4	summer	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	6.4	6.7	fire	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	6.7	7.1	bombs	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	7.1	7.2	of	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	7.2	7.7	Chicago	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	8.5	8.8	the	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	8.8	9.2	same	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	9.2	9.7	Scar	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	9.7	9.9	Tissue	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	9.9	10.3	I	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	10.3	10.4	saw	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	10.4	10.7	in	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	10.7	11.2	Pocatello	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	11.2	11.6	made	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	12.3	12.6	by	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	12.6	12.7	the	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	12.7	13.5	repetitious	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	13.5	15.2	geo-economic	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	15.2	15.6	surgery	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	15.6	15.7	of	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	15.7	16.3	Harriman	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	16.3	17.0	the	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	17.0	17.0	old	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	17.0	17.9	isolated	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	17.9	18.4	that	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	18.4	19.3	Ambassador	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	19.3	19.6	at	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	19.6	20.0	Large	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	22.0	22.5	you	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	22.5	22.6	talk	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	22.6	22.7	of	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	22.7	23.0	color	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	24.1	24.5	oh	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	24.5	25.3	cosmological	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	25.3	25.9	America	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	25.9	26.2	how	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	26.2	26.5	well	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	26.5	26.9	and	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	26.9	27.0	with	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	27.0	27.2	what	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	27.2	28.0	geometry	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	28.0	28.2	you	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	28.2	28.7	teach	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	28.7	28.7	you	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	28.7	29.1	a	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	29.1	29.3	citizen	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	34.2	34.5	this	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	34.5	34.6	is	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	34.6	35.4	the	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	35.4	35.7	first	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	35.7	36.1	note	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	36.1	36.6	from	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	36.6	37.0	London	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	41.0	41.3	as	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	41.3	41.5	we	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	41.5	41.8	go	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	41.8	42.2	through	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	42.2	42.9	Sussex	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	42.9	43.8	Hills	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	43.8	43.9	are	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	43.9	44.4	round	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	45.4	46.0	bellies	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	46.0	46.1	are	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	46.1	46.2	the	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	46.2	46.9	Downs	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	46.9	47.5	pregnant	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	47.5	47.8	lately	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	47.8	48.2	lovely	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	48.2	49.0	the	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	49.0	49.4	rounds	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	49.4	49.5	of	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	49.5	50.2	no	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	50.2	50.9	towns	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	50.9	51.5	the	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	51.5	51.8	train	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	51.8	52.2	passes	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	52.2	52.8	shaking	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	52.8	53.1	along	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	53.1	53.3	the	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	53.3	53.6	groove	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	53.6	54.0	of	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	54.0	54.1	the	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	54.1	54.7	countryside	1
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	56.8	57.1	travel	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	57.1	57.4	to	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	57.4	57.8	Newcastle	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	57.8	58.1	is	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	58.1	58.6	west	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	58.6	58.9	of	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	58.9	59.0	the	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	59.0	59.4	Moors	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	60.2	60.4	or	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	60.4	60.8	east	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	60.8	60.9	of	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	60.9	61.0	the	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	61.0	61.5	Westin	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	61.5	62.0	Wars	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	62.0	62.7	between	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	62.7	62.9	it	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	62.9	63.2	all	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	63.2	63.4	one	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	63.4	63.7	goes	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	63.7	64.0	and	2
Dorn-Ed_Complete-Recording_North-Atlantic-Turbine_London_1967	64.0	64.2	everything	2
