file	beg	end	text	speaker
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	0.3	1.1	unmet	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	1.1	1.6	desire	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	1.6	2.5	stalks	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	2.5	2.6	the	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	2.6	3.0	bed	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	3.0	3.1	and	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	3.1	3.8	covered	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	4.4	5.2	desire	1
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	5.2	6.1	thick	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	6.1	6.7	brambles	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	8.4	9.0	she	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	9.0	9.2	stares	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	9.2	9.5	into	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	9.5	9.6	her	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	9.6	10.4	TVs	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	10.4	11.6	2	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	11.6	11.8	a.m.	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	11.8	12.5	glares	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	12.5	13.6	watches	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	13.6	13.7	the	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	13.7	13.8	way	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	13.8	14.0	she	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	14.0	14.5	once	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	14.5	14.7	watched	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	14.7	15.1	a	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	15.1	15.5	boy's	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	15.5	15.7	body	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	15.7	16.6	too	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	16.6	16.7	quick	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	16.7	16.9	for	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	16.9	17.5	caution	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	17.5	17.6	and	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	17.6	18.1	traffic	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	18.1	18.6	signs	2
Foster-Tonya_Complete-Reading_Segue-Zinc-Bar_2-23-13	18.6	19.7	parse	2
