file	beg	end	text	speaker
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	2.6	3.24	softness	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	3.24	3.4	and	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	3.4	4.04	delicacy	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	4.92	5.24	and	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	5.32	5.76	um	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	6.92	7.16	clear	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	7.36	7.52	clear	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	7.76	8.44	questioning	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	8.44	8.88	clear	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	8.88	9.6	listeners	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	9.6	9.88	about	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	9.88	10.0	him.	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	10.36	10.48	That	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	10.48	11.0	resulted	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.0	11.16	in	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.16	11.4	that	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.4	11.6	little	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.6	11.8	high	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	11.8	12.32	woolly	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	12.32	12.84	voice	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	12.84	12.96	that	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	12.96	13.32	some	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	13.32	13.52	people	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	13.52	13.76	have.	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.04	14.08	You	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.08	14.28	know,	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.28	14.6	older	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.6	14.96	folks	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	14.96	15.12	have.	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	15.56	15.8	Old	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	15.8	16.12	school	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	16.12	16.48	teacher	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	16.48	17.12	ladies	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.12	17.32	or	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.32	17.48	old	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.48	17.68	school	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	17.68	18.0	teacher	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	18.0	18.36	men.	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	19.64	19.68	I	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	19.68	19.8	don't	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	19.8	20.12	know	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	20.32	20.76	might	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	20.76	21.28	describe	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	21.28	21.4	me	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	21.4	21.76	something	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	21.76	21.84	or	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	22.44	22.56	No,	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	22.72	22.8	so	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	22.8	23.04	the	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	24.16	24.32	Here,	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	24.32	24.6	he	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	24.6	24.88	is.	
Ginsberg-Allen_Complete-Reading_WCW-Lecture_3-17-88	25.12	26.16	1928	
