file	beg	end	text	speaker
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	0.1	0.8	time	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	0.8	0.9	most	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	0.9	1.3	of	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	1.3	1.4	all	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	2.1	2.2	the	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	2.2	2.5	first	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	2.5	3.1	funeral	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	3.1	3.9	tells	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	3.9	4.1	us	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	4.1	4.4	this	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	4.4	4.7	in	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	4.7	5.5	long	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	5.5	5.7	hair	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	5.7	5.9	and	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	5.9	6.5	soft	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	6.5	7.1	bodies	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	7.1	7.4	folding	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	7.4	8.0	one	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	8.0	8.4	over	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	8.4	8.9	another	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	8.9	10.3	imagined	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	10.3	10.8	rain	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	10.8	11.0	in	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	11.0	11.2	an	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	11.2	12.1	unliked	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	12.1	12.4	grief	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	13.3	13.9	everywhere	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	13.9	14.4	in	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	14.4	14.6	the	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	14.6	14.9	house	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	14.9	16.0	Garden	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	16.0	16.4	Beyond	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	16.4	16.6	it	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	16.6	17.1	there	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	17.1	17.2	is	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	17.2	17.8	measured	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	17.8	18.3	time	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	18.3	18.5	and	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	18.5	19.0	space	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	19.0	19.7	and	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	19.7	20.4	to	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	20.4	20.5	come	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	20.5	20.6	in	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	20.6	20.7	the	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	20.7	21.4	cool	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	21.4	21.7	Stone	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	22.3	22.6	cool	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	22.6	23.2	lovers	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	24.0	24.2	I	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	24.2	24.6	too	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	24.6	24.9	move	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	24.9	25.0	my	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	25.0	25.5	naked	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	25.5	25.8	and	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	25.8	26.3	immense	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	26.3	26.6	hands	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	26.6	26.7	and	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	26.7	27.1	feet	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	27.1	27.4	through	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	27.4	27.8	the	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	27.8	28.0	old	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	28.0	28.4	high	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	28.4	28.8	wooden	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	28.8	29.2	rooms	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	29.2	29.4	and	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	29.4	29.5	then	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	29.5	29.8	out	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	29.8	30.5	into	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	30.5	30.8	trees	1
Kimmelman-Burt_Complete-reading_KWH-UPenn_10-26-2010	30.8	31.4	filtering	1
