file	beg	end	text	speaker
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	0.8	1.5	fourth	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	1.5	1.8	disclaimer	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	2.8	2.9	from	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	2.9	3.2	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	3.2	3.5	gaming	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	3.5	3.8	table	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	3.8	4.1	to	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	4.1	4.1	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	4.1	4.6	early	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	4.6	5.1	opener	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	5.1	5.6	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	5.6	5.9	risk	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	5.9	6.0	of	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	6.0	6.7	needle	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	6.7	6.8	stick	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	6.8	7.1	not	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	7.1	7.6	obvious	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	7.6	7.7	with	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	7.7	8.1	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	8.1	8.2	first	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	8.2	9.1	Mezcal	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	9.1	9.5	those	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	9.5	10.1	sex	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	10.1	10.4	traps	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	10.4	10.9	skirt	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	10.9	11.2	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	11.2	11.4	dance	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	11.4	11.8	floor	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	11.8	12.1	and	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	12.1	12.6	I	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	12.6	13.3	its	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	13.3	13.3	Center	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	13.3	14.5	11	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	14.5	14.8	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	14.8	15.0	swirl	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	15.0	15.7	opaque	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	15.7	15.8	with	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	15.8	16.1	dry	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	16.1	16.6	ice	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	16.6	17.6	a	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	17.6	17.8	paradox	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	17.8	17.9	of	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	17.9	18.2	people	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	18.2	19.0	cloistered	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	19.0	19.1	in	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	19.1	19.2	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	19.2	19.8	wild	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	19.8	20.6	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	20.6	20.8	state	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	20.8	20.9	of	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	20.9	21.3	nature	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	21.3	22.1	realigning	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	22.1	22.5	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	22.5	23.0	recognition	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.0	23.3	in	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.3	23.3	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.3	23.8	drama	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.8	23.9	of	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	23.9	24.7	substances	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	24.7	25.4	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	25.4	26.0	solitary	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	26.0	26.5	actor	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	26.5	26.8	holding	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	26.8	27.0	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	27.0	27.3	cup	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	27.3	27.8	High	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	27.8	28.7	projecting	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	28.7	29.2	his	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	29.2	29.6	voice	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	29.6	30.1	at	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.1	30.1	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.1	30.5	light	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.5	30.7	at	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	30.7	31.3	ceiling	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	31.3	32.0	calling	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	32.0	32.2	for	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	32.2	32.4	more	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	32.4	33.2	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	33.2	33.7	recognition	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	33.7	34.4	inadequate	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	34.4	35.3	a	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	35.3	35.4	ploy	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	35.4	36.1	a	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	36.1	36.2	foil	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	43.4	43.6	this	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	43.6	43.8	is	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	43.8	45.3	called	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	45.3	45.6	the	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	45.6	45.8	kidney	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	45.8	47.1	is	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	47.1	48.0	a	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	48.0	48.5	porcupine	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	48.5	49.1	like	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	49.1	49.4	animal	1
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	49.4	50.0	found	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	50.0	50.1	in	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	50.1	51.0	Australia's	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	51.0	51.8	marsupial	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	51.8	53.3	monitoring	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	53.3	55.2	it	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	55.2	55.7	produces	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	55.7	56.9	eggs	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	59.2	59.4	and	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	59.4	60.1	circles	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	60.1	60.3	its	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	60.3	60.4	young	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	60.4	60.5	in	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	60.5	60.5	the	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	60.5	61.0	pouch	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	61.0	61.4	so	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	61.4	61.7	it's	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	61.7	62.2	a	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	62.2	62.3	strange	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	62.3	62.8	combination	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	62.8	62.9	of	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	62.9	63.4	creatures	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	63.4	63.6	has	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	63.6	64.1	duck	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	64.1	64.7	I	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	64.7	64.7	mean	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	64.7	65.1	has	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	65.1	65.3	a	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	65.3	66.2	kind	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	66.2	66.2	of	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	66.2	66.8	pointed	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	69.0	69.3	no	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	69.3	70.1	it's	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	70.1	70.3	quite	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	70.3	70.8	bony	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	70.8	71.3	and	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	71.3	71.8	strange	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	71.8	72.6	crossed	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	72.6	72.7	the	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	72.7	72.9	closest	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	72.9	73.8	animals	2
Kinsella-John_02_Complete-Reading_SUNY-Buffalo_11-6-96	73.8	74.2	in	2
