file	beg	end	text	speaker
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	0.16	0.52	Moving	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	0.52	1.12	forward	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	1.12	1.24	and	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	1.24	1.92	across.	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	3.52	3.88	My	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	3.88	4.32	brain	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	4.32	4.84	cells	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	4.84	5.0	are	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	5.0	5.56	crispy	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	5.56	6.4	tonight.	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	7.96	8.8	Silence.	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	11.56	11.72	A	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	11.72	12.08	tool	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	12.08	12.52	kit.	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	13.32	13.56	Write	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	13.56	13.88	about	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	13.88	14.08	it.	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	14.44	14.56	The	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	14.56	15.0	words	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	15.0	15.24	come	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	15.24	15.36	with	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	15.36	15.76	letters	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	15.76	16.72	pre-inscribed.	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	17.04	17.16	The	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	17.16	17.6	letters	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	17.6	17.68	are	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	17.68	18.16	secure	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	18.16	18.28	in	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	18.28	18.44	their	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	18.44	19.0	variously	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	19.0	19.8	circumscribing	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	19.8	20.36	words.	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	20.68	20.8	The	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	20.8	21.16	words	
Robinson-Kit_Complete-Reading_Xavier-Univ_10-27-09	21.16	21.56	represent	
