file	beg	end	text	speaker
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	0.1	0.4	the	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	0.4	0.6	desert	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	0.6	1.0	brush	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	1.0	1.2	is	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	1.2	1.6	burning	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	1.6	1.7	the	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	1.7	2.3	Cocoon	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	2.3	2.5	of	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	2.5	3.1	hammock	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	3.1	3.3	or	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	3.3	3.7	Sac	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	3.7	4.0	which	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.0	4.1	is	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.1	4.3	the	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.3	4.9	handed	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	4.9	5.0	man	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.0	5.3	is	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.3	5.5	carried	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.5	5.5	by	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.5	5.5	the	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	5.5	6.1	boys	2
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	6.1	6.9	they're	2
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	6.9	7.0	carrying	2
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	7.0	7.1	the	2
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	7.1	7.7	wrapped	2
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	7.7	8.0	cocoon	2
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	8.0	8.2	on	2
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	8.2	8.8	poles	2
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	8.8	9.3	the	2
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	9.3	9.4	Earth	2
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	9.4	9.8	before	2
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	9.8	10.1	them	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	10.1	10.2	is	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	10.2	10.7	craft	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	10.7	11.4	but	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	11.4	11.9	above	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	11.9	12.1	it	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	12.1	12.5	it	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	12.5	12.7	is	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	12.7	13.4	lined	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	13.4	13.7	covered	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	13.7	13.9	by	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	13.9	14.0	the	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	14.0	14.5	heavy	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	14.5	14.9	Sky	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	14.9	15.0	they	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	15.0	15.5	Trot	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	15.5	15.7	on	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	15.7	16.0	it	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	16.0	16.7	sticks	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	16.7	17.2	it	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	17.2	17.6	isn't	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	17.6	18.0	being	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	18.0	18.5	dead	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	18.5	19.1	the	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	19.1	19.3	only	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	19.3	20.0	Paradise	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	20.0	20.2	is	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	20.2	20.3	not	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	20.3	20.6	being	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	20.6	21.1	dead	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	21.1	21.7	the	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	21.7	22.1	henna	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	22.1	22.2	man	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	22.2	22.4	is	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	22.4	22.6	but	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	22.6	22.7	the	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	22.7	23.0	boys	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	23.0	23.4	aren't	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	23.4	24.0	from	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	24.0	24.3	above	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	24.3	24.4	the	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	24.4	24.8	lines	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	24.8	25.0	and	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	25.0	25.4	Ridges	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	25.4	25.5	of	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	25.5	25.5	the	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	25.5	25.8	brown	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	25.8	26.2	desert	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	26.2	26.7	when	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	26.7	27.0	one	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	27.0	27.1	is	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	27.1	27.5	flying	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	27.5	28.3	only	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	28.3	28.5	when	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	28.5	28.7	one	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	28.7	28.7	is	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	28.7	29.2	flying	1
Scalapino-Leslie_Complete-Reading_Buffalo_3-6-91	29.2	30.0	it	1
