file	beg	end	text	speaker
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	0.2	0.8	find	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	0.8	0.9	in	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	0.9	1.1	the	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	1.1	1.4	Council	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	1.4	1.5	of	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	1.5	2.4	of	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	2.4	2.7	dreams	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	2.7	3.2	and	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	3.2	3.5	old	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	3.5	3.8	tune	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	3.8	4.3	the	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	4.3	4.7	band	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	4.7	5.0	itself	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	5.0	5.8	have	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	5.8	6.2	forgotten	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	6.2	6.8	beneath	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	6.8	7.1	the	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	7.1	7.5	shards	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	7.5	7.6	of	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	7.6	8.3	Melody	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	8.3	8.4	to	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	8.4	8.8	locate	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	8.8	9.3	a	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	9.3	9.5	tone	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	9.5	9.9	as	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	9.9	10.1	an	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	10.1	10.6	index	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	10.6	10.8	to	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	10.8	11.6	emotions	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	11.6	12.0	not	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	12.0	12.8	recognized	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	12.8	13.2	at	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	13.2	13.2	the	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	13.2	13.3	time	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	13.3	13.5	but	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	13.5	14.0	held	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	14.0	14.7	closely	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	14.7	15.4	more	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	15.4	15.5	so	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	15.5	15.8	than	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	15.8	16.1	that	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	16.1	16.5	to	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	16.5	16.5	which	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	16.5	16.7	we	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	16.7	17.0	thought	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	17.0	17.5	we'd	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	17.5	17.9	paid	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	17.9	18.1	attention	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	18.1	19.3	a	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	19.3	19.5	quality	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	19.5	19.5	of	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	19.5	19.9	light	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	19.9	20.5	underneath	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	20.5	20.7	the	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	20.7	21.1	Street	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	21.1	21.5	Lamp	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	21.5	21.9	is	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	21.9	22.2	how	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	22.2	22.3	it	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	22.3	22.8	dampens	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	22.8	23.3	color	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	23.3	23.7	how	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	23.7	24.2	color	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	24.2	24.7	itself	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	24.7	24.9	is	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	24.9	25.0	a	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	25.0	25.2	thing	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	25.2	25.8	imposed	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	25.8	26.1	as	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	26.1	26.2	the	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	26.2	26.5	sun	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	26.5	27.1	imposes	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	27.1	27.8	de	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	27.8	28.4	de	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	28.4	29.0	winter	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	29.0	29.4	arrives	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	29.4	29.6	if	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	29.6	30.0	it	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	30.0	30.3	arrives	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	30.3	30.5	is	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	30.5	31.1	layered	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	31.1	31.4	and	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	31.4	31.6	must	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	31.6	31.8	be	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	31.8	32.4	stripped	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	32.4	32.6	though	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	32.6	32.8	never	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	32.8	33.0	in	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	33.0	33.1	the	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	33.1	33.4	same	1
Silliman-Ron_Complete-Discussion_Fellows_KWH-UPenn_3-20-12	33.4	33.6	way	1
