file	beg	end	text	speaker
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	0.1	0.8	you're	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	0.8	1.0	scared	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	1.0	1.7	they	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	1.7	2.0	break	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	2.0	2.1	your	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	2.1	2.5	heart	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	3.3	3.5	they	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	3.5	4.0	examine	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	4.0	4.2	where	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	4.2	4.4	you've	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	4.4	4.5	been	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	5.5	5.6	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	5.6	6.2	boy	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.2	6.3	drank	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.3	6.5	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.5	6.6	bottle	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.6	6.7	of	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	6.7	7.0	milk	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	7.0	7.4	at	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	7.4	7.6	Harry	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	8.4	8.7	they	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	8.7	8.9	find	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	8.9	9.1	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.1	9.3	memory	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.3	9.4	of	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.4	9.5	your	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	9.5	10.0	voice	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	10.8	11.0	it	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	11.0	11.3	talks	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	11.3	11.5	to	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	11.5	12.2	say	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	12.2	12.6	your	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	12.6	13.0	hand	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	13.9	14.2	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.2	14.3	hand	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.3	14.7	touches	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.7	14.8	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	14.8	15.1	words	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	15.1	15.4	body	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	16.3	16.8	they're	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	16.8	16.9	all	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	16.9	17.0	beating	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	17.0	17.2	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	17.2	17.5	are	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	17.5	17.9	saying	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	17.9	18.4	who	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	18.4	18.5	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	18.5	19.0	capital	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	19.0	19.9	expired	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	19.9	20.6	IDs	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	20.6	20.9	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	20.9	21.2	word	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	21.2	21.6	world	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	21.6	21.8	the	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	21.8	22.0	one	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	22.0	22.4	without	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	22.4	22.7	a	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	22.7	22.8	play	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	22.8	23.0	in	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	23.0	23.0	it	1
Templeton-Fiona_Complete-Reading_Ear-Inn_01-14-89	23.8	24.4	an	1
