file	beg	end	text	speaker
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.0	0.36	So	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.36	0.4	I'm	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.4	0.52	going	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.52	0.6	to	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.6	0.84	have	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	0.84	1.24	these	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	4.52	4.8	of	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	4.8	5.12	almost	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	5.12	5.92	abstract	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	6.68	7.0	images	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.0	7.24	because	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.24	7.4	there	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.4	7.64	there'll	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	7.64	8.04	be	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	8.08	8.16	you	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	8.16	8.48	know	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	8.84	9.08	really	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	9.52	10.04	dramatic	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	10.04	10.32	blow	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	10.32	10.72	ups	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	10.72	11.12	of	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	11.2	11.52	only	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	11.52	12.2	fractions	
Torres-Edwin_Complete-Recording_Interview_Copp-Street_San-Francisco_9-7-90	12.2	12.6	of	
