file	beg	end	text	speaker	section
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	0.384	2.682	Only immaculate darkness and thunder.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	3.621	5.069	She grabbed Sweet pea.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	5.843	7.66	I'm taking the brat to the country.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	8.573	11.7	But you can't do that, he hasn't even finished his spinach,	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	12.224	16.298	urged the Sea Hag, looking fearfully around at the apartment.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	17.111	19.134	But Olive was already out of earshot.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	20.347	23.481	Now the apartment succumbed to a strange new hush.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	24.289	26.82	Actually, it's quite pleasant here, thought the Sea Hag.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	27.325	31.44	If this is all we need fear from spinach, then I don't mind so much.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	32.017	34.589	Perhaps we could invite Alice the Goon over,	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	35.069	37.71	She scratched, one dug pensively,	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	38.569	41.91	But Wimpy is such a country bumpkin, always burping like that.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	43.64	44.779	Minute at first	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	45.163	47.261	the thunder soon filled the apartment.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	47.857	50.957	It was domestic thunder, the color of spinach.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	52.025	54.933	Popeye chuckled and scratched his balls,	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	55.605	58.397	It sure was pleasant to spend a day in the country.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	61.795	70.251	This next poem must date from about nineteen seventy four when I at last just {NSV} could no longer escape teaching and= and began teaching uh	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	70.733	73.216	poetry to students at Brooklyn College	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	73.633	84.032	and found myself immediately assailed by their questions about what is poetry and why is this a poem and why do you say this isn't and uh what is poetry anyway and #	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	84.607	88.16	so this called What is Poetry but the title has no	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	88.921	90.053	question mark {NSV}	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	90.732	92.742	And uh I don't	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	93.185	110.351	think it was probably very helpful to the students but it was part of my finally beginning to think about what is poetry myself, having done it for a long time without ever having asked myself that question. And it ends as so many of my poems do or= or rather {NSV} they include	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	111.084	111.749	lines of	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	112.087	120.061	b- bits of conversation overheard very often when walking down the streets of New York where you hear rather peculiar things sometimes	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	122.331	123.428	What Is Poetry	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	124.895	126.329	The medieval town,	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	127.042	128.928	with frieze of boy scouts	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	129.381	130.266	from Nagoya?	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	131.656	134.187	The snow that came when we wanted it to snow?	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	134.932	136.119	Beautiful images?	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	137.411	139.949	Trying to avoid ideas as in this poem?	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	141.203	145.071	But we go back to them as to a wife, leaving the mistress we desire?	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	146.523	148.978	Now they will have to believe it as we believe it.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	150.103	152.723	In school all the thought got combed out.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	154.239	156.255	What was left was like a field	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	157.038	158.135	Shut your eyes,	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	158.704	160.837	and you can feel it for miles around.	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	162.214	164.663	Now open them on a thin, vertical path	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	166.227	169.643	It might give us, what, ((s-)) some flowers soon	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	171.732	173.484	It's= it's the last line	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	173.889	182.822	It might give us, what, some flowers soon, that I overheard a boy saying to a girl in  Brentano's Bookshop in New York and decided to	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	183.291	184.313	keep it. (({breath}))	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	186.138	189.186	uh The next one uh At North Farm	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	190.119	191.936	was written in uh	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	192.473	202.453	the early eighties and although North Farm obviously could be anywhere and I don't explain in the poem ((wha-)) what suggested it	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	202.928	209.395	It was # it's actually the name given in a translation I read of the Kalevala, the Finnish folk epic of	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	210.061	210.987	placed called # I think it #	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	211.484	215.661	Pohjola. I don't know how the Finnish pronunciation # place described as	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	216.461	219.088	being near hell but not exactly in it and	Subject	
Ashbery-John_Complete-Reading_Contemporary-American-Poetry_BBC-Radio-3_7-24-99	219.504	223.867	always with the epithet, {NSV} Looming and Prosperous North Farm	Subject	
