file	beg	end	text	speaker	section
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	0.146	6.783	It's woven in the flowers of the patterned spread, and lies ((and)) knows not what it thinks upon the bed.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	8.123	11.24	I wish to come to know you, get to know you all,	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	11.46	14.545	((let your)) belief in me, and me in you stand tall,	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	15.33	17.809	just like a project of which no one tells,	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	18.16	20.55	or do you still think that I am somebody else.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	20.886	21.577	Thank you.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	30.668	31.509	Sonnet.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	33.78	36.35	Each servant stamps the reader with a look.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	36.94	39.814	After many years, he has been brought nothing.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	40.57	43.128	The servant's frown is the reader's patience.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	43.9	47.52	The servant goes to bed. The patience rambles on	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	47.79	50.553	musing on the library's lofty holes.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	51.85	53.84	His pain is the servant's alive.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	54.33	58.575	It pushes to the top stain of the wall, its treetop's head of excitement.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	59.1	61.62	Baskets, birds, beetles, spools.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	62.07	64.177	The light walls collapse next day.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	64.75	67.184	Traffic is ((the)) reader's pictured face.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	67.88	70.347	Dear, be the tree your sleep awaits.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	70.72	72.323	Worms be your words,	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	72.51	74.305	you not safe from ours.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	85.616	90.138	This one is called How Much Longer Will I Be Able to Inhabit the Divine Sepulcher.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	92.78	97.374	How much longer will I be able to inhabit the divine sepulcher of life, my great love.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	98.03	100.73	Do dolphins plunge bottomward to find the light?	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	101.23	104.165	Or is it rock that is searched, unrelentingly.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	104.381	104.885	((Huh.))	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	106.22	110.774	And if some day men with orange shovels come to break open the rock, which encases me,	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	111.07	116.027	what about the light that comes in then? What about the smell of the light? What about the moss?	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	116.95	119.098	In pilgrim times he wounded me.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	119.497	121.091	Since then I only lie.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	121.57	124.757	My bed of light is a furnace choking me with hell	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	125.13	127.636	and sometimes I hear salt water dripping.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	128.531	129.228	I mean it,	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	129.74	135.494	because I'm one of the few to have held my breath under the house. I'll trade one red sucker for two blue ones.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	135.611	137.04	I'm named Tom.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	138.18	143.26	The light bounces off mossy rocks down to me in this glen. The neat villa	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	143.479	145.805	which when he'd had he would not ((had he of))	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	146.34	148.05	And jests ((smarting and privet))	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	148.909	150.488	which on hot spring nights	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	150.75	154.544	perfumes the empty rooms with the smell of sperm flushed down toilets	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	154.92	157.71	on hot summer afternoons within sight of the sea.	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	158.09	160.074	If you knew why then, professor,	Speaker1	
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	160.24	161.65	reads to his friends	Speaker1	
