file	beg	end	text	speaker	section
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	0.352	2.348	The history of someone who came too late	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	3.161	8.792	The time is ripe now and the adage is hatching as the seasons change and tremble	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	9.544	14.064	It is finally as though that thing of monstrous interest were happening in the sky	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	14.525	16.947	But the sun is setting and prevents you from seeing it	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	18.175	20.45	Out of night, the token emerges	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	21.01	24.092	its leaves like birds alighting all at once under a tree	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	24.839	26.319	taken up and shaken again	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	27.029	28.558	put down in weak rage	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	29.504	32.465	knowing as the brain does it can never come about	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	33.035	38.308	Not here, not yesterday in the past. Only in the gap of today filling itself	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	38.835	40.71	as emptiness is distributed	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	41.154	43.066	in the idea of what time it is	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	43.709	45.408	when that time has already passed	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	47.277	48.43	Scheherazade	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	50.477	52.504	unsupported by reason's enigma	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	52.966	56.137	water collects in squared stone catch basins	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	56.562	57.776	The land is dry	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	58.333	59.898	Under it moves the water	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	60.284	61.831	fish live in the wells	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	62.33	66.062	The leaves, a concerned green are scrawled on the white	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	67.203	71.46	Bad bindweed and rank ragweed somehow forget to flourish here	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	72.303	76.925	An inexhaustible wardrobe has been placed at the disposal of each new occurence	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	77.523	78.967	it can be itself now	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	79.659	81.692	Days almost reluctant to decline	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	82.255	84.743	and slowing down opens out new avenues	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	85.119	88.439	that don't infringe on space but are living here with us	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	89.303	95.209	Other dreams came and left while a bank of colored verbs and adjectives was shrinking from the light	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	95.858	98.382	to nurse in shade their want of a method	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	99.332	101.377	But most of all she loved the particles	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	101.839	106.008	that transformed objects of the same category into particular ones	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	106.729	110.097	each distinct within and apart from its own class	Subject	
Ashbery-John_Complete-Recording_WBAI-Broadcast_Kush_1974	111.214	113.915	In all this springing up was no hint of a tide,	Subject	
