file	beg	end	text	speaker	section
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	0.398	0.894	Yeah.	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	1.298	2.28	Yeah, I got better.	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	2.89	3.75	((You know)), through it.	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	4.746	7.981	Do you always keep the posters you put up on the walls?	spk_1	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	8.372	8.89	((For)),	spk_1	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	10.295	12.571	you know, announcements for events?	spk_1	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	13.033	13.832	Oh, yeah.	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	14.124	16.079	Yeah, I usually # I keep them uh	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	17.545	20.457	# well, some of them, I keep on the bulletin board there.	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	21.128	23.68	And some, I keep, like, on the door 	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	24.116	26.588	behind, like, the kitchen door right here.	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	27.003	27.41	((It))	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	27.957	29.815	# ((I'm)) leaving it open now so you don't see them. 	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	30.154	30.84	But, uh,	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	31.219	33.209	because they're like, behind the door. Like we try	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	34.4	39.259	# I guess what it amounts to is I don't like seeing all # I, like, keep so many of them,	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	39.459	41.93	you know, all these movie posters and.	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	42.092	43.367	And you save a lot of them?	spk_1	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	43.77	45.43	No, I throw them away as soon as they're	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	45.869	46.659	obsolete.	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	49.659	51.052	I don't want to have (()).	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	51.565	52.501	Do you save yours?	spk_0	
Benson-Steve_Complete-Recording_Views-of-Communist-China_1220-Folsom-SF_05-19-77	53.036	57.082	Well, I usually forget to take them down for about ((three or four months)) and then I {laugh}.	spk_1	
