file	beg	end	text	speaker	section
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	0.13	6.331	And your eyes are particularly blue and your feelings may be fading and grow blank	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	7.069	9.078	But the soap is happy it's you	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	22.284	24.15	Us Looking Up to Saint Bridget	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	26.822	35.751	Let's see now. Where are we? It is dust in New York, about to be Christmas and next nineteen sixty one. We are not detectives, are we? So we don't care what time it is	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	36.81	56.772	Where will we all be on New Year's Day. Saint Bridget knows but she hasn't sent out invitations yet, and yet and yet and yet as the Japanese are always, those heathens, saying. And yet we know, we really know, don't we, where we'll be. We'll be at ((Claven's)) or ((Glennan's)) or ((McGivern's)) or McGovern's or ((McGillivray's,)) dead drunk for Saint Bridget and for ((doom))	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	57.589	59.825	Doom dum de doom	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	61.513	71.097	I am really thinking of ((Casay Sapeep)) by Norman Bluhm and I think it is a good idea, death, which will begin again in unbearable musique concrete	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	71.886	79.084	It is impossible to be American if you are not French first. It is impossible to fuck without thinking of oeufs sur le plat.	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	79.388	86.35	Or of being welcomed to Paris at night after a long, boring train ride, for women are like that	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	86.733	94.146	They make you feel you have traveled a long way, and might as well take what comes and come to what will take you	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	95.181	99.427	But not Saint Bridget. She comes first no matter how fast you are	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	100.387	106.485	and lingers last not just for breakfast but for the whole fucking weekend and lasts and lasts.	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	106.862	108.611	That's how American women are	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	109.337	117.356	And you can't be French first unless you move pretty fast. And Saint Bridget may not protect you but she does keep you alive, if that's your idea of a good time	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	118.059	121.241	But stick it out if you can. It'll make a man of you	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	122.048	135.601	But what about Saint Bridget? Doesn't she have a history? I know she doesn't have a record. How long does a yawn last, or a world or a gunfight? That's what I mean. It's inconsequential, how many thoughts you have. It's the violence that counts	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	136.338	151.966	I think everything began on August thirtieth nineteen thirty nine. I don't think anything is interesting before that. Except that I discovered it later. I don't care when Saint Bridget was born. Or ((Davide)) or Michelangelo or Diaghilev or William Carlos Williams	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	152.343	155.615	They started with me because I thought about them first	Subject	
Berkson-Bill_Complete-Reading_Poetry-Project_St-Marks-NY_5-17-78	156.68	164.059	I built the church of Saint Bridget and feel responsible that it's crooked. I am everybody's victim except Joan Mitchell's	Subject	
