file	beg	end	text	speaker	section
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	1.189	6.444	The exhilaration comes up very close, the objects in it look like familiar things	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	6.85	10.405	It happens at times that come to us in a direct line	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	11.194	14.167	as light moving at a pretty pace	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	16.625	18.633	People in delirium ((move)) toward it	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	19.428	21.473	It has one of nature's failings	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	22.368	25.292	Loveliness is not ((deluxe)) when it's uncertain	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	25.814	27.538	Strange we have come back	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	45.57	48.574	So this type study is what started all the trouble	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	49.707	56.624	with ((any others)) coming (({NSV})) um I'd long been a fan of her work and ((had)) on weaving and knew it well	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	57.278	58.376	It hadn't um	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	60.54	70.722	{lipsmack} I just saw it differently one day and I went to um some lengths to try to publish it, and it ((took)) a lot. Just wanted to ((cover the things that I do and that= that #))	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	71.472	72.4	and um	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	72.95	82.898	they put me in touch with the ((author's)) foundation which opened up a little bit of a Pandora's box, because they brought out so many amazing things when I went to visit	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	83.41	84.583	I was then #	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	85.536	86.148	((in #))	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	86.937	91.999	um so I studied weaving and then started working on my own little type studies	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	92.484	93.449	and um	Subject	
Bervin-Jen_Complete-Recording_Contemporary-Writers-Series_Mills-College_9-28-10	94.094	97.128	I don't know about you but when I do monotonous work	Subject	
