file	beg	end	text	speaker	section
Clay-Steve_Close-Listening_5-17-21	0.035	5.69	um A fascinating thing and= and now we've both had a chance to read more literary history		
Clay-Steve_Close-Listening_5-17-21	5.8	9.942	so= so we know going back to Blake, of course, who was such an outsider and printed	Speaker1	
Clay-Steve_Close-Listening_5-17-21	9.95	10.412	Mhm.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	10.175	13.559	and engraved # create his own engraving techniques, his own books,	Speaker1	
Clay-Steve_Close-Listening_5-17-21	13.759	14.568	but um	Speaker1	
Clay-Steve_Close-Listening_5-17-21	14.72	18.46	most l- literary # most poets exist within	Speaker1	
Clay-Steve_Close-Listening_5-17-21	19.51	21.724	you know, micro networks of	Speaker1	
Clay-Steve_Close-Listening_5-17-21	22.432	23.706	publishers or	Speaker1	
Clay-Steve_Close-Listening_5-17-21	23.85	25.944	bookstores that publish their work,	Speaker1	
Clay-Steve_Close-Listening_5-17-21	26.094	30.535	that circulate to other poets, and you can sort of trace what those networks are	Speaker1	
Clay-Steve_Close-Listening_5-17-21	30.41	31.027	Mhm.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	30.96	32.362	and I'm not saying network in a	Speaker1	
Clay-Steve_Close-Listening_5-17-21	32.96	35.58	contemporary {laugh} bureaucratic sense, I mean	Speaker1	
Clay-Steve_Close-Listening_5-17-21	34.608	35.38	Right, yeah.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	35.96	40.688	you could trace those connections by looking at the where the books f- # the flow of the books	Speaker1	
Clay-Steve_Close-Listening_5-17-21	36.053	36.584	Yeah.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	37.516	38.288	Oh, yeah.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	40.62	41.461	Absolutely.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	40.875	45.148	and who publishes them. So you're really ((right at the center.)) So while you ((might))	Speaker1	
Clay-Steve_Close-Listening_5-17-21	41.817	44.474	Yeah, that's one of the most interesting # yeah.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	45.172	48.69	found it, and I could imagine quite difficult, because distribution is	Speaker1	
Clay-Steve_Close-Listening_5-17-21	49.14	54.436	always a- a very difficult and unrewarding thing. Nonetheless, you learned a lot about the	Speaker1	
Clay-Steve_Close-Listening_5-17-21	55.07	56.237	# what was going on,	Speaker1	
Clay-Steve_Close-Listening_5-17-21	56.432	57.807	how things worked.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	57.084	60.195	Well, yeah, I did and I # but I- I was also	Speaker2	
Clay-Steve_Close-Listening_5-17-21	60.42	62.556	st- # I was traveling a bit	Speaker2	
Clay-Steve_Close-Listening_5-17-21	62.66	67.118	and visiting libraries and that's how I was selling the books that we were distributing.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	67.7	74.765	People rarely bought anything from a list that we would send out, but if I would go around and visit people in special collections libraries	Speaker2	
Clay-Steve_Close-Listening_5-17-21	74.384	74.942	Yeah.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	75.04	76.875	they would invariably buy	Speaker2	
Clay-Steve_Close-Listening_5-17-21	77.16	78.98	many things, maybe	Speaker2	
Clay-Steve_Close-Listening_5-17-21	78.497	80.486	So that's when you got started with the	Speaker1	
Clay-Steve_Close-Listening_5-17-21	81.28	86.07	um # your relationship with= with special collections and libraries and ((placing)) books.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	84.752	89.47	That started it, the distribution and then # but then I realized when I did the Cage book I-	Speaker2	
Clay-Steve_Close-Listening_5-17-21	89.918	93.2	I knew that if I went around and showed it to people that they	Speaker2	
Clay-Steve_Close-Listening_5-17-21	93.766	96.197	# I would be able to sell this, you know, and	Speaker2	
Clay-Steve_Close-Listening_5-17-21	95.061	95.572	Yeah.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	96.37	98.103	so what made it possible	Speaker2	
Clay-Steve_Close-Listening_5-17-21	98.58	99.716	um having that	Speaker2	
Clay-Steve_Close-Listening_5-17-21	99.975	105.842	end point, you know, that end user point in mind and ((I'd)) met a lot of people by then	Speaker2	
Clay-Steve_Close-Listening_5-17-21	106.43	110.647	um I did # early # in the early eighties I came out and	Speaker2	
Clay-Steve_Close-Listening_5-17-21	110.853	116.053	attended the # something called rare book school, that was a summer program at Columbia University,	Speaker2	
Clay-Steve_Close-Listening_5-17-21	114.523	115.172	Mhm.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	116.504	117.527	and this was uh	Speaker2	
Clay-Steve_Close-Listening_5-17-21	117.61	118.446	filled with	Speaker2	
Clay-Steve_Close-Listening_5-17-21	119.28	123.04	all kinds of librarians from around the country and elsewhere	Speaker2	
Clay-Steve_Close-Listening_5-17-21	123.592	125.78	((studying)) aspects of rare books	Speaker2	
Clay-Steve_Close-Listening_5-17-21	126.017	126.602	um	Speaker2	
Clay-Steve_Close-Listening_5-17-21	127.1	130.89	and that was very useful in beginning to meet people, some of them I	Speaker2	
Clay-Steve_Close-Listening_5-17-21	131.0	135.544	still know now. All this time, and they were at the beginning of their career then as well.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	134.956	135.526	((Yeah.))	Speaker1	
Clay-Steve_Close-Listening_5-17-21	135.598	137.566	Now m- maybe a	Speaker1	
Clay-Steve_Close-Listening_5-17-21	135.903	137.529	{cough}	Speaker2	
Clay-Steve_Close-Listening_5-17-21	137.794	139.26	unfair or a	Speaker1	
Clay-Steve_Close-Listening_5-17-21	139.51	145.85	stereotype, but a lot of people involved with r- rare books for sure, but fine press printing	Speaker1	
Clay-Steve_Close-Listening_5-17-21	146.51	147.789	apart from you and	Speaker1	
Clay-Steve_Close-Listening_5-17-21	148.3	155.393	Charles Alexander and a, you know, a few others and leaving aside the cheaper use of letterpress by (()) Burning Deck or 	Speaker1	
Clay-Steve_Close-Listening_5-17-21	155.684	156.659	Tuumba and others	Speaker1	
Clay-Steve_Close-Listening_5-17-21	157.11	160.132	((wouldn't have been)) interesting ((contemporaries,)) especially not radical	Speaker1	
Clay-Steve_Close-Listening_5-17-21	160.42	160.957	uh	Speaker1	
Clay-Steve_Close-Listening_5-17-21	161.141	162.132	innovative	Speaker1	
Clay-Steve_Close-Listening_5-17-21	162.503	163.916	poetry they would publish	Speaker1	
Clay-Steve_Close-Listening_5-17-21	163.294	163.835	Mhm.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	164.26	169.38	((known)) works and it would be about the way in which those works were printed and set	Speaker1	
Clay-Steve_Close-Listening_5-17-21	169.778	171.116	or more conventional	Speaker1	
Clay-Steve_Close-Listening_5-17-21	171.5	173.44	writing, so you were combining	Speaker1	
Clay-Steve_Close-Listening_5-17-21	174.18	176.57	very radical poetic content,	Speaker1	
Clay-Steve_Close-Listening_5-17-21	177.19	179.415	radical in the sense of	Speaker1	
Clay-Steve_Close-Listening_5-17-21	179.83	181.05	unconventional	Speaker1	
Clay-Steve_Close-Listening_5-17-21	181.433	182.648	and contemporary	Speaker1	
Clay-Steve_Close-Listening_5-17-21	182.768	183.337	Mhm.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	183.334	185.148	versus more traditional	Speaker1	
Clay-Steve_Close-Listening_5-17-21	185.46	186.039	Right.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	186.58	187.178	work.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	187.682	189.2	{lipsmack} Yeah, that's why I	Speaker2	
Clay-Steve_Close-Listening_5-17-21	189.89	190.597	wanted	Speaker2	
Clay-Steve_Close-Listening_5-17-21	191.535	192.681	# (()) ((was)) I	Speaker2	
Clay-Steve_Close-Listening_5-17-21	193.14	196.818	# my interest in the books that we were distributing was limited	Speaker2	
Clay-Steve_Close-Listening_5-17-21	197.61	202.54	to the physical aspects of the work and= and= and the con- # and= and nothing wrong with the content, I didn't want to	Speaker2	
Clay-Steve_Close-Listening_5-17-21	199.517	200.128	Right.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	203.305	209.84	(()) I- I- I love Moby Dick. (()) a chapter of Moby Dick (()) famously (())	Speaker1	
Clay-Steve_Close-Listening_5-17-21	203.309	204.75	go down on that but	Speaker2	
Clay-Steve_Close-Listening_5-17-21	205.633	209.792	{cough} Yeah, there you go. {laugh} {cough}	Speaker2	
Clay-Steve_Close-Listening_5-17-21	210.106	213.08	(()) ((probably be)) more than one, but one of the people you mentioned.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	213.25	219.836	It's= a= it's a beautiful thing to behold ((an)) (()) It's still not the same as doing a John Cage book or= or=	Speaker1	
Clay-Steve_Close-Listening_5-17-21	215.745	216.806	Absolutely.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	218.556	220.877	That's right. Yeah. Exactly. Yeah.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	219.848	224.59	or= or= or= or= or ((Jane Brakhage)) book, it's just # it's a different kind of thing.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	222.573	223.659	Right, right.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	224.658	227.406	But what I'm interested in, drawing on that for a second, is	Speaker1	
Clay-Steve_Close-Listening_5-17-21	227.82	228.967	you know, the syncretic	Speaker1	
Clay-Steve_Close-Listening_5-17-21	229.33	231.054	((uh)) which is so important	Speaker1	
Clay-Steve_Close-Listening_5-17-21	232.07	239.502	to me in poetics. In your case the syncretism has to do with combining aspects of a very traditional fine press printing	Speaker1	
Clay-Steve_Close-Listening_5-17-21	239.366	239.951	Mhm.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	239.756	241.179	and knowledge of=	Speaker1	
Clay-Steve_Close-Listening_5-17-21	241.54	243.888	of uh antiquarian books	Speaker1	
Clay-Steve_Close-Listening_5-17-21	244.04	245.677	with this very different	Speaker1	
Clay-Steve_Close-Listening_5-17-21	245.95	246.801	content.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	246.714	247.277	Mhm.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	247.36	252.111	that= you= that you put into that because a lot of us # I mean, think about {laugh} ((the stuff))	Speaker1	
Clay-Steve_Close-Listening_5-17-21	252.46	260.581	th- that I was publishing as= as kind of a non-publisher publisher, but still ((I mean)) (()) you know, we typed stuff and we Xeroxed it. {laugh} It was fine.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	259.025	260.133	Yeah, yeah.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	260.6	267.65	And it has a nice quality to it and I'm all for it but (()) a lot more people doing the kind of stuff that I was doing with desktop and	Speaker1	
Clay-Steve_Close-Listening_5-17-21	260.674	261.627	It's ((fine.))	Speaker2	
Clay-Steve_Close-Listening_5-17-21	267.88	270.28	the rest. Lot less people,	Speaker1	
Clay-Steve_Close-Listening_5-17-21	268.336	268.867	Mhm.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	270.83	272.35	even if they wanted to	Speaker1	
Clay-Steve_Close-Listening_5-17-21	272.725	274.693	could have done what you ((did,)) because they just	Speaker1	
Clay-Steve_Close-Listening_5-17-21	274.761	276.339	w- wouldn't have known how to do it.	Speaker1	
Clay-Steve_Close-Listening_5-17-21	276.422	276.985	Yeah.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	277.41	282.576	Yeah, they # no, it wasn't # you're= right= you're right, there= weren't= there weren't many models really. I mean uh	Speaker2	
Clay-Steve_Close-Listening_5-17-21	282.83	285.8	Perishable Press did # published a lot of	Speaker2	
Clay-Steve_Close-Listening_5-17-21	286.341	287.62	uh people,	Speaker2	
Clay-Steve_Close-Listening_5-17-21	287.991	290.622	Paul Blackburn, Robert ((Duncan,)) Robert Creeley,	Speaker2	
Clay-Steve_Close-Listening_5-17-21	289.19	289.87	((Yeah.))	Speaker1	
Clay-Steve_Close-Listening_5-17-21	290.996	293.253	uh but he did it um	Speaker2	
Clay-Steve_Close-Listening_5-17-21	293.42	298.372	# he did it in a ((one)) # he did it in his way, it was a very perfect way, he ((made the)) # it= it was	Speaker2	
Clay-Steve_Close-Listening_5-17-21	296.863	297.448	(())	Speaker1	
Clay-Steve_Close-Listening_5-17-21	298.615	299.638	very much in	Speaker2	
Clay-Steve_Close-Listening_5-17-21	299.91	303.197	the fine printing tradition and I think that what Granary	Speaker2	
Clay-Steve_Close-Listening_5-17-21	303.96	306.893	does, did and does, was to	Speaker2	
Clay-Steve_Close-Listening_5-17-21	307.23	309.443	push it further and	Speaker2	
Clay-Steve_Close-Listening_5-17-21	309.818	310.483	um	Speaker2	
Clay-Steve_Close-Listening_5-17-21	311.196	314.061	try to find a proper	Speaker2	
Clay-Steve_Close-Listening_5-17-21	314.69	318.33	relationship between all of the materials of	Speaker2	
Clay-Steve_Close-Listening_5-17-21	319.072	320.666	th- the object.	Speaker2	
Clay-Steve_Close-Listening_5-17-21	320.509	324.956	So this becomes a kind of a crossover into what you could call ((art as)) books, now	Speaker1	
Clay-Steve_Close-Listening_5-17-21	325.224	328.25	w- # at what point did you begin to see	Speaker1	
Clay-Steve_Close-Listening_5-17-21	328.7	331.24	your work at Granary as	Speaker1	
Clay-Steve_Close-Listening_5-17-21	331.6	333.75	the publisher of artist's books?	Speaker1	
