file	beg	end	text	speaker	section
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	0.097	4.339	and pass into a mirroring account of Alpha Bits	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	5.589	13.494	Every off chance is the index of what has already been articulated opening onto the same, scrubby field	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	14.301	16.225	The master poet trembled	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	16.91	19.131	people watched him and wondered	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	19.709	29.431	He could barely articulate one shuddering, shattered word but struggled, shaking and thereby achieved exactitude and bearing	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	30.648	38.415	As for me, years later I stumbled through a cracked gate scarcely knowing why and how I was brought to this place	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	39.269	47.545	Its ownership in fact was common property, though at first it had seemed fenced off, vietato l’ingresso	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	48.518	50.308	People watch me and shrugged	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	51.079	51.777	However	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	52.147	62.58	having finally come here to an open book, I thought it plausible to write of the intersections so that others might recognize their fate in mine as well as mine in theirs	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	62.956	66.761	Hence I composed a canzone that begins	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	67.159	69.793	I Carried my Soul the Other Night	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	72.502	89.432	I carried my soul the other night I was angry at it and concerned ((and)) it was my own girl child who became smaller and smaller. Not grown up into her own real self but small. A doll of dolls of dolls, with the skin of a baby	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	89.96	103.838	Not a baby, but someone looking near to six or seven, yet the size and shape of someone whom a mother could still carry, curled and nestled. A cosy infant of about eight months, which is why I call this my soul	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	104.523	107.393	And I spoke to her that night and through the day	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	109.18	117.015	Two barrettes and a scrunchie were at issue, the way it's always something simple, a pretext for feelings too large to speak of	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	117.531	126.465	Yet when I remembered this insight, it was way past the event. Thus coming far after I had needed the helpful decoding to what this then had meant	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	126.849	141.244	and therefore felt confusion, bitterness and curiosity. Why did you not tell me you needed them to swim, or to be on the team to play soccer or whatever? Everything, traveling backwards and behindhand	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	142.524	149.879	Was it too late now to buy or find those pretty clasps and bands to give my soul?	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	152.077	155.257	Why didn't you tell me what you needed from the beginning	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	156.604	160.912	I wanted everything to give us satisfactions and connections.	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	161.27	169.463	What could have occurred between us. Instead there were silences, repressions, and symbolic sniping gestures	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	170.556	192.762	Yet when I carried you, you nestled the way they do, and milky soft against me, and you carried me. I looked precisely like you, or you looked like you. Those lively eyes and dark curls and spunky disposition, and I was moved and critical. Was I any good a mother? I had thought I was a better mother, she, a soul	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	195.706	202.723	You will have, I was told or said, to share the guest room as a crowd of people is already there	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	203.46	205.814	and I laid her down to rest with them	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	206.876	211.88	There are dancers and readers and those who would not be satisfied	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	212.238	215.001	and with you are people you once knew	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	215.45	217.076	and some are dead	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	218.058	224.102	Attend them through the many tales and songs that each might offer others or invent	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	225.36	228.115	The room is small, so work it out	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	228.873	236.2	They will wait for you as you for them, with yes and no, with back and forth, the here and there, the then and now	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	236.635	240.249	Their modes of folding and their modes of caring	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	243.088	245.87	I was struck by this lightning as much as she	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	246.452	248.31	and I carried the soup	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	248.73	253.614	quietly to all the beds, for all through the house it was dark	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	253.966	259.518	as it would have had to be. And darker the movement, stair to stair	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	260.482	262.375	There were many there to feed	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	263.298	266.696	We must all feed all the living,	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	267.103	268.553	then the dead	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	269.202	272.03	And I, it seemed, had taken on one task	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	272.583	273.664	Don't spill it	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	274.109	278.49	I won't. A vow. Was I alone? I did not seem to be	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	278.904	287.287	Though this was hard to fathom when I felt the red shadow of our bloodied world's insistent presence in the moon's eclipse	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	287.682	289.308	darkening night	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	290.23	296.206	And then the moon slid slowly back with full, suffusing light	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	298.557	302.082	Yet this part of the work remains closest to darkness	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	302.804	305.723	The knowledge of yearning will not be complete	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	306.979	310.435	There is no there. It's all degrees of here	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	311.922	314.361	((Cannot)) touch them whom we are marked by	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	315.039	318.424	But they are palpable and enter this place	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	319.867	322.685	Be nomadic, nomad	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	323.35	326.926	Wander with the wanderers, yet safe in the room	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	328.075	332.048	There is at once too much and much too little	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	333.049	333.955	Wait it out	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	334.91	343.785	The bit of ugly, the glitch, the torn, the sweeper, the tender, the constant reminder that things are being made, unmade and tended	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	345.304	347.984	You are now one part of all of this	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	348.482	355.917	You will be it, help it, answer and feed that surface of cries, chirps	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	356.559	358.238	You will call out,	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	359.472	360.786	live in empathy,	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	361.183	362.82	let the agony be	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	363.371	364.478	comfort it	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	366.771	370.018	Reject the hole that someone claims is rule	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	371.256	378.55	A hole, a line, a hold, a lie, a hope, a hype will slide you through this most dangerous spot	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	379.843	386.407	Resist only rectitudes, resist the crazed and driven knowers	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	387.031	388.959	find and replace	Subject	
DuPlessis-Rachel-Blau_Complete-Reading_KU_Lawrence-KS_03-07-2011	390.452	393.053	Though the mechanism to depict this is called	Subject	
