file	beg	end	text	speaker	section
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	0.53	3.93	(()) we (()) ((to make it))	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	4.264	5.223	(())	Speaker2	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	5.14	7.043	(()) ((inappropriate))	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	7.06	13.79	(()) you know ((like)) (()) I hope somebody's going to really think about the ((landform of the ponds)) because I mean it really could be special.	Speaker2	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	13.896	14.635	Yeah, sure.	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	15.618	22.02	Technically, you know the parameters of= of technical ((requirements)) are really ((wide, you know))	Speaker2	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	21.29	24.956	So you can have any # as long as you have a volume you can ((have)) (())	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	23.437	28.197	(()) ((any shape)) (())	Speaker3	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	25.261	29.259	Almost, you have to have certain ((depths)) and certain (())	Speaker2	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	28.203	33.44	(()) and then the placement of where you put the ((ponds)) (())	Speaker3	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	28.832	31.089	Basically (())	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	33.473	38.31	((Immediately)) (()) ((like to be able to walk among the)) (())	Speaker3	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	36.85	38.278	Oh ((did)) (())	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	38.59	40.73	((Incredible numbers of birds)) (())	Speaker3	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	40.11	41.501	Oh, that'd be terrific.	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	41.088	42.703	Oh, yeah. ((That should be)) (())	Speaker2	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	41.686	47.397	So that uh # just the (()) # ((I mean you should)) # ((the person who thinks of it has to think more like a)) (())	Speaker3	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	47.093	49.691	(()) yeah, as a ((park.)) {laugh}	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	50.447	51.053	(())	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	51.397	53.59	(()) {laugh}	Speaker3	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	53.796	56.59	(()) there (())	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	56.774	58.588	Yeah, ((no matter what)) (())	Speaker2	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	57.683	58.754	((be a lot of water))	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	59.406	60.29	((Freshwater))	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	59.793	61.265	((Lot of birdwatching too.))	Speaker2	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	61.417	62.087	(())	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	62.374	64.491	(()) ((got)) {laugh}	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	64.419	67.338	(()) when= when will it be available for public sale?	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	67.29	68.094	{laugh}	Speaker3	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	68.075	69.007	I don't know.	Speaker2	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	69.101	70.081	(()) don't know.	Speaker3	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	69.988	71.876	That's a really good question.	Speaker2	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	72.265	75.02	(()) ((I would think next spring))	Speaker3	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	75.09	78.429	You think that (())	Speaker2	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	82.899	84.007	(())	Speaker2	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	86.373	87.727	Anybody have a cigarette?	Speaker1	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	89.058	90.108	I (()) cigarette	Speaker4	
Kyger-Creeley-Hewlett_Complete-Discussion_Location-Unknown_06-19-72	90.445	95.603	((I'm not saying)) (()) ((trying get this)) (()) ((say yesterday, what happened that was like))	Speaker4	
