file	beg	end	text	speaker	section
PhillyTalks5_Complete-Recording_03-03-98_UPenn	0.147	7.364	All the ((texts)) in the book somehow took place in a space that he defined as the Middle East	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	7.766	11.571	and in fact many of them really didn't or don't	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	11.913	15.621	in= a= in a mental space or even in a physical space	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	16.08	20.551	and part of what I was up to there was to	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	24.63	25.694	include	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	25.988	32.693	the sense of those spaces in wherever I was. um And this is something that I've found to be	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	33.554	34.551	extremely	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	35.005	36.314	difficult to do	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	36.736	42.828	under again American circumstances. I find very few writers who are able to do this and I	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	43.782	44.198	got	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	44.776	50.88	permission or instruction, you know permission in the sense of= of Duncan's permission to= to	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	51.357	57.917	enter a meadow through the work of= of uh # through the wonderful work of Etel Adnan the Lebanese uh writer	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	58.296	69.607	who as she says u- uh now wr- writes in English and paints in Arabic {NSV} u- um because essentially she grew up without a language	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	64.158	65.345	{laugh}	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	70.024	82.423	or with many languages. um These are things that can be seen as advantages or disadvantages depending on how you look at it. Growing up in a colonial atmosphere with displaced parents who	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	82.993	89.874	had several languages which were not the dominant languages, et cetera et cetera. She ended up writing in English and somehow	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	90.341	94.429	placed herself in American English but brought in	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	94.78	98.832	all of this experience and to me that was something that was very instructive	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	99.302	101.718	um and something that= that	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	102.18	105.36	allowed me to try to think about ways in which	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	106.308	107.862	places could	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	110.747	112.521	be themselves and	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	113.031	118.66	not at the same time because I think there's a privilege given to place which I have tried to	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	119.041	123.695	somehow contest at the same time as I invite it and embrace it	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	124.252	125.102	um	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	126.757	136.486	So where I am exactly in all of that is= is extremely difficult. I mean I # there have been n- number of years in which I've simply worked in translation because	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	136.839	137.953	I didn't know where I was	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	138.532	141.077	in terms of where I would begin my language.	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	145.527	145.968	That's it.	Subject	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	146.795	148.036	Yeah, ((I don't see #)) that-	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	148.366	149.314	that's= that's good	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	149.951	150.935	I mean its a good answer	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	152.605	153.143	um	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	156.012	158.186	How about if we read a little bit?	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	158.73	159.348	and then	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	160.168	161.275	open it up to	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	161.697	162.449	discussion	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	163.36	164.027	would that work.	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	164.532	164.972	Yeah?	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	165.259	166.825	Can I ask a question first?	Unknown2	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	167.088	168.098	You certainly may.	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	168.678	169.229	um	Unknown2	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	170.215	172.099	So I just scream it ((at her))	Unknown2	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	171.72	173.255	No, just # I'll repeat it. Speak it	Unknown1	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	172.484	177.882	uh Okay. um I'm actually # this is such a simple question. I'm just wondering what you heard	Unknown2	
PhillyTalks5_Complete-Recording_03-03-98_UPenn	178.659	180.536	that made you say that's my voice	Unknown2	
