file	beg	end	text	speaker	section
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	0.16	2.474	To a moment or like a moment	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	0.239	1.309	{cough}	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	4.621	9.106	w- wanting to like continue it just a little long- longer as a unifying	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	9.877	11.09	time capsule.	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	13.45	16.155	A kind of pressing # that kind of pressing that	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	16.486	19.798	that Bob was describing as the pressure of O'Hara.	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	21.521	26.022	Like he wants to have a moment which is kind of vague when you read it like on the page.	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	27.037	27.683	Yeah.	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	27.663	29.41	But yet as you said before	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	31.176	32.397	in relation to the poems ((it))	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	32.764	34.692	like it occurs quickly as a ((procession))	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	35.179	36.4	{cough}	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	35.362	36.623	but as recorded	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	37.226	40.147	it seems to somehow want to ((just))	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	40.459	43.994	push the limits of what would otherwise be considered a moment.	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	44.483	47.614	And you also use the expression resonance and duration.	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	48.061	49.785	I think that that is sort of a	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	50.736	51.367	kind of a #	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	52.045	52.915	((oh boy))	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	53.893	54.516	{breath}	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	54.46	56.074	((a)) characterization of this moment.	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	56.928	61.246	Right, well it's the conflict between the fact that you can apprehend	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	61.852	65.802	((an)) huge amount but you c- # but in order to write that, to say it	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	66.296	67.509	i- is ((um))	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	68.473	73.821	((it c- # in the um #)) a- and the fact that you're (()) # u- uh if you're unable to write that uh	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	75.111	81.265	would be it's impossible and also that your perception or your being in the moment, the moment doesn't exist anyway.	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	82.094	84.074	um So it's attempting to	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	84.487	85.7	to realize that	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	86.099	89.491	In other words that you've completely fabricated this ((and)) your sense of the moment	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	90.768	93.123	uh it has never existed and it isn't there	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	94.551	102.606	um So I relate that to that previous question of whether something's being nullified. In a sense there is that, ((that uh)) it has to be your understanding	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	102.995	107.616	that you can only exist in the present, but you're never in it and that it	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	107.927	108.446	{NSV}	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	108.419	110.279	and that you can't um #	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	111.221	113.48	and that it doesn't exist {laugh} anyway.	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	113.621	117.013	So you don't want to be limited by the boundaries of a coherence	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	114.122	114.641	{laugh} ((So #))	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	117.384	119.132	that itself is #	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	119.97	121.566	((I would say doesn't exist.))	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	120.912	134.748	Right, well it's kind of as if= if you had the moment as a frame so to speak, if that made any sense, that you would the= the= the writing will go past # it will kind of go past that boundary and it will show you that it's past that boundary by being so big	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	135.28	137.514	or um through something like that	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	138.296	141.881	but it demonstrates that tension of being inside or outside of something.	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	143.302	143.861	((It's))	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	144.373	156.438	Is it also illusory because it's an example of uh like what you've been talking about, fabricating um a sense of the moment or a construct of the moment out of the past, out of what you remember?	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	156.785	171.379	Is= that= is= that= relevant= is that relevant to ((your)) # I mean, once you get past the moment you're still writing, that moment has passed. You're in a sense remembering something or what it was like when that moment was taking place, which still is= is # you know, it's not possible	Unknown1	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	172.941	180.788	{breath} ((uh)) Yes, u- uh right, but you would always be {NSV} it's simp- # it is simply that, that you would always be behind time even if you're sitting right here	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	174.156	174.635	((Time.))	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	181.406	181.997	um	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	182.615	184.657	There's no such thing, because you're {laugh} ((not))	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	187.258	191.259	if you're in s- # in the second, y- # it's already behind you	Subject	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	192.014	192.485	I'm=	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	193.11	197.045	I'm interested in this= this whole idea of um	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	198.593	202.316	constructing um o- of= of um	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	203.105	209.297	constructing some kind o- of= oh um uh linguistic surface or a poem out of	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	209.625	222.062	the past out of what's # you know out of what's remembered in a sense. The images like you know ((here)) are not nullified because they're= still= they're still something left over and= and that is	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	222.321	226.827	just a sense of= of what's been constructed out of what= what he remembers.	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	227.258	232.369	I'm struggling with it a lot because I'm having a really hard time trying to um	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	233.009	236.449	articulate what I'm thinking about and I have been thinking about this a lot	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	236.773	242.806	um in terms of my work ((w- uh #)) in the poetry of John Ashbery which I think has a lot, which #	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	243.597	261.908	the discussion today of O'Hara's poem has a lot of= of resonance with # I see him as also constructing this= this kind # th- this you know, this= this linguistic web and= and his you know wr- # u- uh and working in like just extended long sentences and that kind of thing, especially in things like a s- # um= um The System.	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	262.858	263.345	But	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	263.84	266.067	it's # there's still a sense of	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	266.715	267.569	u- um	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	268.176	283.711	even though the surface # you know even though you know it's= h- it's highly rotten, rhetorical and superficial, there's still somehow, something being remembered into the # you know into the present of experiencing that text and= and I was wondering if you kind of thought about #	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	284.125	285.322	the I mean uh {NSV} #	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	286.092	298.318	anyway I mean this is what um= um you know that what I was thinking of anyway is= is like the work of of Ashbery, especially like in his longer more, you know more meditative kind of works. I think it works ((with= with that)) O'Hara	Unknown2	
Scalapino-Leslie_Complete-Recording_Lecture-And-Discussion_Buffalo_3-7-91	298.861	300.549	{breath} uh	Subject	
