file	beg	end	text	speaker	section
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	0.39	3.814	Each of the ((honor)) boxes featured Eric's portrait work	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	4.07	6.58	expressing a bit of each person's story.	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	7.29	8.695	The user friendly exhibit	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	9.054	15.851	was installed on street corners along South Ninth Street and East Passyunk Avenue and between Carpenter and Twelfth Streets.	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	17.92	20.14	So the uh seven figures 	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	22.29	24.13	give a thumbnail sketch.	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	25.88	32.763	Father Antonio I- Isoleri was an Italian immigrant who became pastor of the first Italian parish in the United States.	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	32.899	34.88	Saint Mar- Mary Magdalene dePazzi.	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	36.06	44.98	His service as a spiritual and secular leader from eighteen seventy to nineteen twenty six was instrumental in shaping the future of South Philadelphia's Italian-American community.	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	45.961	47.83	The church remains a worship site	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	48.35	51.28	while maintaining its Italian identity to this day.	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	51.72	55.9	Its former rectory serves as the Mario Lanza Institute and Museum,	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	56.16	60.362	honoring the tenor who used to sing the Ave Maria in his old church.	Speaker1	
Sherlock-Frank_and_Savich-Zach_Complete-Reading_WWFLI_KWH-UPenn_9-18-13	61.771	67.27	Dorothy Allen is the daughter of West Indian African American parents and was born and raised in South Philadelphia.	Speaker1	
