file	beg	end	text	speaker	section
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	0.239	7.135	It's a ghetto mall with anchor tenants like Woolworth, security guards wearing guns, with seven or eight	Subject	
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	7.514	12.957	cheap shoe stores, white mannequins in Penny's surrounded by clerks and shoppers who are not	Subject	
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	13.355	19.157	Ah, swoony, queasy ((feel)) as you squeeze lightly now my balls	Subject	
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	19.523	33.677	The strong odor of his own urine. Standing over an open ditch in the pouring rain, think of the word gullywasher. My bones are aching and my brain is weak. I think I'm standing on a stubborn ((street))	Subject	
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	34.189	42.513	Mowed at dawn when the sky has lightened, minute before the first sun appears when all light is true light, every color muted	Subject	
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	43.219	51.136	Pieces of a music hidden in the mind by memory's collaboration with all other musics emerges now	Subject	
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	51.47	60.038	and emerges again anew in the middle of a dream. Every song a new song, each now occurred for the first time	Subject	
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	60.448	65.906	Today I wake with a roaring thirst. We put the fab in fabric	Subject	
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	66.361	101.372	All effects are special. You'll wake the birds. Two weights, twin twenty five pound barbells resting on the rug, implicit challenge. The roses have grown wild in the corners, rising high over the wire fence. This compost a small mountain out of whose sides weeds arise. Steam wisps over the lip of the cup. Hot tea at the brink of a hot day. It's summertime. ((Until after)) an early evening movie, the sun's still out. The day crowded with hours gathers at the horizon	Subject	
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	101.74	112.222	An intricate dream in which I return to an old job site. People now ((by)) my current coworkers. Both do ((it)) miraculously to a mining town in the Sierras	Subject	
Silliman-Ron_Complete-Reading_Birkbeck-Poetics-Centre_05-05-09	112.611	120.539	((about ankle,)) tiny sparrow chases huge vulture high over the freeway, zigzag path {lipsmack} out by the wetlands	Subject	
