file	beg	end	text	speaker
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.14	0.3	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.46	0.97	gallons	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	0.97	1.08	and	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.08	1.52	gallons	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.52	1.62	of	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	1.62	2.26	gasoline	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.26	2.35	in	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.35	2.74	huge	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	2.74	3.19	tankers	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.19	3.32	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.32	3.39	are	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	3.39	4.03	explosives	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.03	4.14	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.14	4.3	are	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.37	4.8	flying	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	4.8	5.68	explosives	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.49	6.66	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.66	6.86	mean	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.86	6.9	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	6.9	7.11	don't	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.11	7.37	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.4	7.49	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.49	7.67	mean	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.67	7.77	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.77	7.97	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	7.97	8.13	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.13	8.35	you	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.35	8.54	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.76	8.94	but	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	8.94	9.02	they	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.02	9.2	don't	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.2	9.41	talk	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.41	9.65	about	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	9.65	9.95	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.02	10.32	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.41	10.54	you	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.54	10.77	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	10.81	11.07	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.1	11.39	is	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.43	11.61	you	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.61	11.71	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.71	11.84	they	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	11.84	12.08	say	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.08	12.28	that	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.77	12.88	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	12.88	13.17	food	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.17	13.49	nearly	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.49	13.77	didn't	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	13.77	14.0	reach	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.0	14.1	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.1	14.27	for	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.44	14.63	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.74	14.86	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	14.86	15.23	troops	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.23	15.41	let	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.41	15.66	alone	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.66	15.75	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	15.75	16.52	humanitarian	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.52	16.66	aid	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.66	16.75	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.75	16.99	food	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	16.99	17.25	really	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.25	17.48	didn't	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.48	17.71	reach	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.71	17.83	them	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.83	17.96	for	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	17.96	18.04	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	18.04	18.3	next	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	18.3	18.44	two	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	18.44	19.05	days	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	19.74	19.95	so	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	19.95	20.1	what	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.1	20.2	you	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.2	20.42	have	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.42	20.56	is	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.56	20.71	all	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.71	20.82	the	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	20.82	21.45	supplies	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	21.45	21.59	have	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	21.59	21.68	to	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	21.68	21.79	go	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	21.79	22.0	into	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	22.0	22.07	it	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	22.07	22.18	you	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	22.18	22.27	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	22.27	22.53	hi	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	22.53	22.77	hi	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	22.77	23.02	tech	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	23.02	23.39	boards	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	23.39	23.81	require	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	23.81	24.16	might	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	24.27	25.07	require	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	25.07	25.48	freight	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	27.7	27.99	but	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.02	28.21	you	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.21	28.4	could	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.51	28.59	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.59	28.77	mean	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.77	28.86	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	28.86	29.01	could	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	29.01	29.11	have	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	29.11	29.26	run	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	29.26	29.4	into	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	29.4	29.54	this	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	29.54	30.0	program	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	30.0	30.28	here	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	30.28	30.38	in	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	30.38	30.64	twenty	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	30.64	30.95	minutes	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	30.95	31.05	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	31.05	31.21	could	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	31.21	31.3	have	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	31.3	31.71	produced	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	31.71	31.78	an	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	31.78	32.37	absolutely	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	32.37	32.85	clear	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	32.88	33.46	articulate	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	33.46	33.92	example	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	33.92	34.01	of	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.01	34.18	what	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.18	34.3	we	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.3	34.43	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.43	34.72	what	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.72	34.82	we	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	34.82	35.12	didn't	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	35.12	35.27	know	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	35.27	35.61	very	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	35.61	35.99	clearly	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	35.99	36.1	and	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	36.1	36.16	I	0
Antin-David_Complete_Seminar_University-Buffalo_3-27-03	36.16	36.37	said	0
