file	beg	end	text	speaker
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	0.29	0.44	it's	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	0.44	0.84	woven	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	0.84	0.93	in	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	0.93	1.02	the	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	1.02	1.5	flowers	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	1.5	1.6	in	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	1.6	1.69	the	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	1.69	1.96	pan	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	1.96	2.22	and	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	2.22	2.78	spread	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	3.21	3.47	and	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	3.47	4.08	rising	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	4.08	4.46	knows	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	4.46	4.71	not	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	4.71	4.9	what	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	4.9	5.05	it	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	5.05	5.79	thinks	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	5.82	6.14	upon	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	6.14	6.23	the	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	6.23	6.67	bed	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	8.5	8.6	I	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	8.6	8.82	wish	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	8.82	8.96	to	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	8.96	9.91	continue	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	9.99	10.7	getting	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	10.7	11.13	wrong	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	11.82	12.28	belief	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	12.28	12.4	in	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	12.4	12.72	me	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	12.79	12.83	I	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	12.83	13.21	mean	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	13.21	13.44	you	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	13.44	13.95	stand	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	13.95	14.44	tall	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	15.4	15.68	just	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	15.68	15.85	like	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	15.85	15.91	a	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	15.91	16.45	project	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	16.45	16.52	in	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	16.52	16.77	which	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	16.77	16.91	no	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	16.91	17.09	one	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	17.09	17.73	tells	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	18.27	18.44	do	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	18.44	18.58	you	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	18.58	18.91	still	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	18.91	19.19	think	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	19.19	19.3	that	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	19.3	19.45	I'm	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	19.45	19.86	somebody	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	19.86	20.49	else	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	20.94	21.22	thank	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	21.22	21.38	you	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	30.76	31.2	sign	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	31.2	31.38	it	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	33.84	34.13	each	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	34.13	34.61	serving	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	34.61	34.75	the	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	34.75	35.2	stamps	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	35.2	35.33	the	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	35.33	35.67	reader	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	35.67	35.86	with	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	35.86	35.92	a	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	35.92	36.32	look	2
Ashbery-John_Complete-Recording_The-Songs-We-Know-Best_1973-and-1988	36.97	37.32	after	2
